t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
0.62,0.0421998758916096,0,0,0.0421998758916096,0,0,0.526344255582742,-0,-0
0.63,0.0432323955614259,0,0,0.0432323955614259,0,0,0.518729873962137,-0,-0
0.64,0.0442684724789025,0,0,0.0442684724789025,0,0,0.511240380794134,-0,-0
0.65,0.045307870047861,0,0,0.045307870047861,0,0,0.503873577404361,-0,-0
0.66,0.0463503573291713,0,0,0.0463503573291713,0,0,0.496627305017967,-0,-0
0.67,0.0473957083112538,0,0,0.0473957083112538,0,0,0.489499439857429,-0,-0
0.68,0.0484437051756352,0,0,0.0484437051756352,0,0,0.482487913925346,-0,-0
0.69,0.0494941377733533,0,0,0.0494941377733533,0,0,0.475590712158157,-0,-0
0.7,0.0505468002469445,0,0,0.0505468002469445,0,0,0.468805850616078,-0,-0
0.71,0.0516014910110127,0,0,0.0516014910110127,0,0,0.462131376356328,-0,-0
0.72,0.0526580127522294,0,0,0.0526580127522294,0,0,0.455565367433129,-0,-0
0.73,0.0537161724293337,0,0,0.0537161724293337,0,0,0.449105932897704,-0,-0
0.74,0.0547757812731322,0,0,0.0547757812731322,0,0,0.442751212798283,-0,-0
0.75,0.0558366547864989,0,0,0.0558366547864989,0,0,0.436499378180092,-0,-0
0.76,0.0568986127443756,0,0,0.0568986127443756,0,0,0.430348631085365,-0,-0
0.77,0.0579614791937714,0,0,0.0579614791937714,0,0,0.424297204553335,-0,-0
0.78,0.0590250824537631,0,0,0.0590250824537631,0,0,0.41834336262024,-0,-0
0.79,0.0600892551154951,0,0,0.0600892551154951,0,0,0.41248540031932,-0,-0
0.8,0.0611538339963517,0,0,0.0611538339963517,0,0,0.406721643375187,-0,-0
0.81,0.0622186595447499,0,0,0.0622186595447499,0,0,0.401050443918815,-0,-0
0.82,0.0632835799349361,0,0,0.0632835799349361,0,0,0.395470207299815,-0,-0
0.83,0.064348447983264,0,0,0.064348447983264,0,0,0.389979372358163,-0,-0
0.84,0.0654131196653272,0,0,0.0654131196653272,0,0,0.384576401695274,-0,-0
0.85,0.0664774541159598,0,0,0.0664774541159598,0,0,0.379259781673997,-0,-0
0.86,0.0675413136292359,0,0,0.0675413136292359,0,0,0.374028022418619,-0,-0
0.87,0.06860456365847,0,0,0.06860456365847,0,0,0.368879657814864,-0,-0
