t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
1.23,0.120692032838453,0,0,0.120692032838453,0,0,0.208880480127899,-0,-0
1.24,0.121755714486414,0,0,0.121755714486414,0,0,0.205453395414274,-0,-0
1.25,0.122814291456563,0,0,0.122814291456563,0,0,0.202083196112292,-0,-0
1.26,0.123867725573606,0,0,0.123867725573606,0,0,0.198768936807557,-0,-0
1.27,0.124915980177954,0,0,0.124915980177954,0,0,0.195509685865613,-0,-0
1.28,0.12595902012572,0,0,0.12595902012572,0,0,0.192304525431948,-0,-0
1.29,0.126996811788721,0,0,0.126996811788721,0,0,0.189152551431992,-0,-0
1.3,0.128029323054476,0,0,0.128029323054476,0,0,0.186052873571116,-0,-0
1.31,0.129056523326207,0,0,0.129056523326207,0,0,0.183004615334634,-0,-0
1.32,0.130078383522839,0,0,0.130078383522839,0,0,0.180006913987804,-0,-0
1.33,0.131094876079001,0,0,0.131094876079001,0,0,0.177058920575822,-0,-0
1.34,0.132105974945023,0,0,0.132105974945023,0,0,0.174159799923831,-0,-0
1.35,0.133111655586941,0,0,0.133111655586942,0,0,0.171308730636912,-0,-0
1.36,0.134111894986492,0,0,0.134111894986492,0,0,0.168504905100093,-0,-0
1.37,0.135106671463472,0,0,0.135106671463472,0,0,0.165747528150599,-0,-0
1.38,0.13609596496069,0,0,0.13609596496069,0,0,0.163035817521216,-0,-0
1.39,0.137079759381383,0,0,0.137079759381383,0,0,0.160369020547177,-0,-0
1.4,0.138058039958254,0,0,0.138058039958254,0,0,0.157746397282852,-0,-0
1.41,0.139030792893837,0,0,0.139030792893837,0,0,0.155167218036307,-0,-0
1.42,0.139998005360503,0,0,0.139998005360503,0,0,0.152630763369295,-0,-0
1.43,0.140959665500457,0,0,0.140959665500457,0,0,0.150136324097258,-0,-0
1.44,0.141915762425739,0,0,0.141915762425739,0,0,0.147683201289328,-0,-0
1.45,0.142866286218221,0,0,0.142866286218221,0,0,0.145270706268328,-0,-0
1.46,0.143811227929612,0,0,0.143811227929612,0,0,0.142898160610771,-0,-0
1.47,0.144750579581455,0,0,0.144750579581455,0,0,0.140564896146857,-0,-0
