f_init_hz,convergence_time_s,steady_bias_hz,steady_std_hz,nrmse
0.4,0.48,0.00204289709921267,0.00168980093581782,0.00958419300335983
0.5,0.51,0.00204289709921262,0.00168980093581781,0.00962649342836176
0.6,0.42,0.00204289709921269,0.00168980093581782,0.00933249108044455
0.7,1.8,0.0020428970992127,0.00168980093581782,0.00899379828072936
1,0.99,0.00204289709921262,0.00168980093581782,0.00960112423416748
1.2,0.94,0.00204289709921262,0.00168980093581781,0.0108744364346399
