case_id,ekf_nonfinite_count,rls_nonfinite_count,ekf_last10_mean_hz,rls_last10_mean_hz,ekf_last10_std_hz,rls_last10_std_hz,last10_abs_error_gap_hz_ekf_minus_rls
baseline,0,0,0.80260695701363,0.727113841298791,0.00238843530414783,0.00244195238403609,-0.0700589726780837
noisy_010,0,0,0.802639424412955,0.727300470946718,0.0060756046898603,0.00246640931398077,-0.0675108518817295
interf_5hz_r05,0,0,0.804794565303415,0.725367359974815,0.0336162821381013,0.00252528157050669,-0.046738885768596
