case_id,ekf_convergence_time_s,rls_convergence_time_s,ekf_steady_bias_hz,rls_steady_bias_hz,ekf_steady_std_hz,rls_steady_std_hz,ekf_nrmse,rls_nrmse,ekf_innov_lag1_corr,rls_innov_lag1_corr,delta_abs_bias_hz_ekf_minus_rls,delta_std_hz_ekf_minus_rls,delta_nrmse_ekf_minus_rls
baseline,0.38,NaN,0.00260695701363021,-0.0728861587012036,0.00238843530414783,0.00244195238403609,0.00698733954262791,0.220961734379676,0.995572496853961,0.99680796569318,-0.0702792016875734,-5.35170798882604e-05,-0.213974394837048
noisy_010,0.56,NaN,0.00263942441295427,-0.0726995290532877,0.0060756046898603,0.00246640931398077,0.0411283229175873,0.172729458092565,-0.0453719628516901,0.946990875936943,-0.0700601046403335,0.00360919537587953,-0.131601135174978
interf_5hz_r05,2.37,NaN,0.00479456530341495,-0.0746326400251866,0.0336162821381013,0.00252528157050669,0.117187509087852,0.188673532827712,0.951245165134661,0.978807961202874,-0.0698380747217717,0.0310910005675947,-0.0714860237398596
