scenario_type,noise_std,interf_freq_hz,interf_amp_ratio,f_init_hz,convergence_time_s,steady_bias_hz,steady_std_hz,nrmse,innovation_mean,innovation_lag1_corr
noise,0,NaN,NaN,0.4,0.48,0.00204289709921267,0.00168980093581782,0.00958419300335983,8.11448369938105e-05,0.99662397350747
noise,0,NaN,NaN,0.6,0.42,0.00204289709921269,0.00168980093581782,0.00933249108044455,0.000521672105254062,0.996697850863105
noise,0,NaN,NaN,1,0.99,0.00204289709921262,0.00168980093581782,0.00960112423416748,-0.0014188870996767,0.996892689683252
noise,0.05,NaN,NaN,0.4,0.51,0.00202051032038255,0.00223297039641088,0.0243064860462466,0.000276458125229674,0.0799528415374082
noise,0.05,NaN,NaN,0.6,0.42,0.00202051032038258,0.00223297039641087,0.0242583196295779,0.000738587694494296,0.076197355305902
noise,0.05,NaN,NaN,1,1.01,0.00202051032038249,0.00223297039641087,0.024236461027081,-0.001329404408913,0.0741728663584682
noise,0.1,NaN,NaN,0.4,0.53,0.00205240094326033,0.0036539796200893,0.0408639942911647,0.000490740487410873,-0.0110374450416135
noise,0.1,NaN,NaN,0.6,0.43,0.00205240094326032,0.00365397962008929,0.0408521985571707,0.000974669304421039,-0.0116390758325067
noise,0.1,NaN,NaN,1,0.17,0.00205240094326027,0.00365397962008929,0.0407826139004394,-0.00123130134912962,-0.0151381569993202
interference,NaN,3,0.3,0.6,3.08,0.00526264364548096,0.017139398543219,0.0755329267916758,-0.00226585316505887,0.979734643310738
interference,NaN,3,0.5,0.6,3.59,0.0110550507989892,0.0284301705305129,0.109139924391434,0.00245989659562237,0.981539308399828
interference,NaN,5,0.3,0.6,1.14,0.00206672987323786,0.0107286898183688,0.0828656866774441,-0.00453265513939946,0.94979297404204
interference,NaN,5,0.5,0.6,0.57,0.00213603503253951,0.017745259999065,0.11921199663206,-0.0034432141694543,0.950513299995579
interference,NaN,8,0.3,0.6,2.79,0.00182543029796268,0.00696281970591084,0.0863924638945299,-0.000425834802479708,0.876436002514042
interference,NaN,8,0.5,0.6,0.8,0.00146467240177758,0.0113812198409976,0.123892497030833,0.000432712608817511,0.875985464127593
