Time_s,Signal,Predicted,EstFreq_Hz,PhaseCorr
0,0.0273383950497078,0,0.6,0
0.01,0.0721483840773806,0.0273150934518929,0.6,0
0.02,0.116948445021869,0.0720907991755709,0.6,0
0.03,0.158046792202189,0.116968055231113,0.6,0
0.04,0.20783228165551,0.158465008713102,0.6,0
0.05,0.236237113417158,0.209521030021515,0.6,0
0.06,0.293148448977564,0.239191889418466,0.6,0
0.07,0.329798582492366,0.298681514833124,0.6,0
0.08,0.386444794776586,0.336980805068251,0.6,0
0.09,0.466614421091481,0.395163381204142,0.6,0
0.1,0.500565184630616,0.476863280999663,0.6,0
0.11,0.543576713434045,0.512394508867641,0.6,0
0.12,0.563486218382839,0.555035902904203,0.6,0
0.13,0.61150754818212,0.575775061288984,0.6,0
0.14,0.653985718251763,0.620818640186701,0.6,0
0.15,0.662791851853938,0.662386893749246,0.6,0
0.16,0.711376226903918,0.675201180838614,0.6,0
0.17,0.767459986760983,0.715188255066836,0.6,0
0.18,0.795063723602345,0.764544710865448,0.6,0
0.19,0.834975894069163,0.796139659920541,0.6,0
0.2,0.846851373931335,0.830524515115668,0.6,0
0.21,0.854670323129389,0.849647868721931,0.6,0
0.22,0.900658016816125,0.861418619221466,0.6,0
0.23,0.895142314723296,0.887910302797386,0.6,0
0.24,0.902547208358805,0.898481292546722,0.6,0
0.25,0.939265152648938,0.906655213738109,0.6,0
0.26,0.940474057959991,0.92378654840104,0.6,0
0.27,0.99076725667163,0.93389019518676,0.6,0
0.28,0.968231565410586,0.954456031392423,0.6,0
0.29,0.97642169480874,0.960957616060201,0.6,0
0.3,0.985573841048246,0.966587348268224,0.6,0
0.31,0.976525198681446,0.971724034598074,0.6,0
0.32,1.01176971104239,0.972472977113969,0.6,0
0.33,0.976267318875373,0.9789823833986,0.6,0
0.34,0.994342451462891,0.976140521964241,0.6,0
0.35,0.960349019009635,0.975914773899252,0.6,0
0.36,0.930533329653338,0.969059793783528,0.6,0
0.37,0.954621404021649,0.957965021799944,0.6,0
0.38,0.914204248691151,0.951200470157158,0.6,0
0.39,0.920445855485704,0.93908465873101,0.6,0
0.4,0.910736522123102,0.928581391502,0.6,0
0.41,0.867248462940029,0.917359618730666,0.6,0
0.42,0.825793491039972,0.901741896057867,0.6,0
0.43,0.82498133524237,0.882734179262251,0.6,0
0.44,0.840713758484048,0.864997353940743,0.6,0
0.45,0.775787652082034,0.849865011602929,0.6,0
0.46,0.751492009739909,0.8291994191748,0.6,0
0.47,0.687918826321893,0.807514432548684,0.6,0
0.48,0.669895130923826,0.781348247381039,0.6,0
0.49,0.623215648146073,0.755257508000192,0.6,0
0.5,0.562928501633373,0.726716293839183,0.6,0
0.51,0.542828786033109,0.694815074881452,0.6,0
0.52,0.504807564153998,0.663264415528267,0.6,0
0.53,0.440462067616719,0.63054583842882,0.6,0
0.54,0.396414588991706,0.594634969953109,0.6,0
0.55,0.341597727014098,0.557461056780821,0.6,0
0.56,0.315947290481721,0.51830094743615,0.6,0
0.57,0.296484656442584,0.479617364500699,0.6,0
0.58,0.206534530621064,0.441873086274551,0.6,0
0.59,0.16660387587048,0.399679258978767,0.6,0
0.6,0.137294442764851,0.357163103936093,0.6,0
0.61,0.0897406635247212,0.315175275608217,0.6,0
0.62,0.0214285585555457,0.272389702249003,0.6,0
0.63,-0.0468180482575666,0.227415029114663,0.6,0
0.64,-0.0574782155094355,0.180463602499514,0.6,0
0.65,-0.120930788190794,0.135789378202517,0.6,0
0.66,-0.172496407786138,0.0896230674880793,0.6,0
0.67,-0.217040920315371,0.0429488532312077,0.6,0
0.68,-0.284216969935969,-0.0036524584449722,0.6,0
0.69,-0.304856091242256,-0.0516370677597893,0.6,0
0.7,-0.347672271896654,-0.0977404713012108,0.6,0
0.71,-0.41379357884216,-0.143462545069866,0.6,0
0.72,-0.469777749564338,-0.190259413664991,0.6,0
0.73,-0.503053878522917,-0.237323105317769,0.6,0
0.74,-0.552633019948599,-0.283108358553128,0.6,0
0.75,-0.611697935775159,-0.32862738412428,0.6,0
0.76,-0.61720677050877,-0.374388599792172,0.6,0
0.77,-0.635587840400593,-0.417037776480259,0.6,0
0.78,-0.666960637864483,-0.457470871792843,0.6,0
0.79,-0.724097139184372,-0.496520453901905,0.6,0
0.8,-0.750094315780057,-0.535683468713239,0.6,0
0.81,-0.806021175630484,-0.573100410982095,0.6,0
0.82,-0.799278787948494,-0.610473387985762,0.6,0
0.83,-0.828770032212264,-0.644300646681093,0.6,0
0.84,-0.864349295562625,-0.676700369900826,0.6,0
0.85,-0.886309640821615,-0.708013506866866,0.6,0
0.86,-0.905727814725895,-0.737537371147942,0.6,0
0.87,-0.956364664726332,-0.765196322858804,0.6,0
0.88,-0.954373424934034,-0.792583516043789,0.6,0
0.89,-0.94709427046675,-0.817101321700037,0.6,0
0.9,-1.00348551277636,-0.83864246892095,0.6,0
0.91,-0.998642841029165,-0.860289537517007,0.6,0
0.92,-0.991189214868763,-0.879195136752386,0.6,0
0.93,-0.985059436856639,-0.895378345713248,0.6,0
0.94,-0.987748104349889,-0.909030932849554,0.6,0
0.95,-0.951295737417204,-0.920646428838231,0.6,0
0.96,-0.987253688101935,-0.928692555394335,0.6,0
0.97,-0.980661769625742,-0.936301411583542,0.6,0
0.98,-0.935544145807108,-0.941755644384168,0.6,0
0.99,-0.950332353226049,-0.943650558721756,0.6,0
1,-0.95645703607331,-0.944469542685664,0.6,0
1.01,-0.907976710097771,-0.943912729582404,0.6,0
1.02,-0.918931571760572,-0.940006207561455,0.6,0
1.03,-0.873024664920582,-0.935084077714536,0.6,0
1.04,-0.872437355726036,-0.927129501437234,0.6,0
1.05,-0.875315791125789,-0.917893941933037,0.6,0
1.06,-0.805871870141746,-0.907549460206859,0.6,0
1.07,-0.775836365340132,-0.893609967522377,0.6,0
1.08,-0.760366304977743,-0.877587853922746,0.6,0
1.09,-0.702662518576179,-0.860068674699731,0.6,0
1.1,-0.68171276940403,-0.839652066628401,0.6,0
1.11,-0.647684516711955,-0.817704760098668,0.6,0
1.12,-0.596423074932346,-0.793835215091206,0.6,0
1.13,-0.570169504079515,-0.767509704399836,0.6,0
1.14,-0.513429519774449,-0.739677939411172,0.6,0
1.15,-0.485188677816952,-0.709322397062497,0.6,0
1.16,-0.456864471338701,-0.677529073137848,0.6,0
1.17,-0.438534546218008,-0.644363872258368,0.6,0
1.18,-0.33593631532292,-0.61026837382851,0.6,0
1.19,-0.292018038603024,-0.572165586205406,0.6,0
1.2,-0.218597390740141,-0.532322907677594,0.6,0
1.21,-0.176812456207959,-0.489669323710156,0.6,0
1.22,-0.151696577814486,-0.445510792114405,0.6,0
1.23,-0.0891060818134252,-0.400608901317868,0.6,0
1.24,-0.0262981314005495,-0.353532517901057,0.6,0
1.25,0.00815269321036544,-0.304351323996214,0.6,0
1.26,0.092900993103848,-0.254366147420731,0.6,0
1.27,0.0977930571198966,-0.20150140735612,0.6,0
1.28,0.165301474531552,-0.149391584838748,0.6,0
1.29,0.18385862997645,-0.0953555085959624,0.6,0
1.3,0.243093354187472,-0.0417592021569345,0.6,0
1.31,0.314341050324457,0.0131629180955134,0.6,0
1.32,0.34074719043977,0.0698693264065503,0.6,0
1.33,0.406029570633522,0.126070774655323,0.6,0
1.34,0.401641676529967,0.1835454115559,0.6,0
1.35,0.495757445358016,0.238700222292765,0.6,0
1.36,0.507243891096309,0.296382623853187,0.6,0
1.37,0.545695700263412,0.35226278836013,0.6,0
1.38,0.556399970756771,0.4076279304481,0.6,0
1.39,0.621287918872153,0.460940427196059,0.6,0
1.4,0.695132087445196,0.51496538706372,0.6,0
1.41,0.732789777441855,0.570079677178422,0.6,0
1.42,0.715049155798944,0.62426584629078,0.6,0
1.43,0.773709223940148,0.674516638610379,0.6,0
1.44,0.823422803163672,0.724914070129861,0.6,0
1.45,0.823274374689694,0.774910921397607,0.6,0
1.46,0.886658209517371,0.821791324711434,0.6,0
1.47,0.916497080743171,0.868977869703582,0.6,0
