Time_s,Signal,Predicted,EstFreq_Hz,Error
0,0,0,0.6,0
0.01,0.0502418060266649,0,0.600000000748128,0.0502418060266649
0.02,0.100351679181522,0.0502449456958062,0.600000007937513,0.0501067334857158
0.03,0.150203056972342,0.100559424649875,0.60000004266761,0.0496436323224669
0.04,0.199670042512237,0.151077698625861,0.600000150442974,0.0485923438863762
0.05,0.248627722463975,0.20194098038358,0.600000381743837,0.0466867420803954
0.06,0.296952482468096,0.252839856863776,0.600000758923371,0.0441126256043202
0.07,0.344522319258322,0.303094750081159,0.600001277339926,0.0414275691771627
0.08,0.391217148676187,0.352225471689484,0.60000192190386,0.038991676986703
0.09,0.436919108807273,0.400031490411384,0.600002675470829,0.0368876183958887
0.1,0.481512857473838,0.446419649845839,0.600003521307592,0.0350932076279985
0.11,0.524885863332919,0.49131147906281,0.600004443869701,0.0335743842701091
0.12,0.566928689845273,0.534618950353916,0.600005429222336,0.0323097394913568
0.13,0.607535271398558,0.576243185155553,0.600006465336175,0.0312920862430051
0.14,0.646603180888073,0.616079704803166,0.6000075421942,0.0305234760849067
0.15,0.684033888079992,0.654026213521744,0.600008651564714,0.0300076745582482
0.16,0.719733008105431,0.689991490565309,0.600009786320269,0.0297415175401219
0.17,0.753610539458605,0.723903427427972,0.60001093931038,0.0297071120306328
0.18,0.785581090898998,0.755713595656055,0.60001210199018,0.0298674952429427
0.19,0.815564096685466,0.785396643137407,0.600013263156246,0.0301674535480589
0.2,0.84348401959979,0.812945167772239,0.600014408136982,0.0305388518275514
0.21,0.86927054124807,0.838362669392301,0.600015518633789,0.030907871855769
0.22,0.89285873916053,0.861657292098104,0.600016573221174,0.0312014470624262
0.23,0.914189250243701,0.882837778247069,0.600017548389871,0.0313514719966319
0.24,0.933208420173497,0.901911693939989,0.600018419979531,0.031296726233508
0.25,0.949868438353196,0.918885291438334,0.60001916486488,0.0309831469148625
0.26,0.9641274580969,0.933764282794415,0.600019762794221,0.030363175302485
0.27,0.975949701736348,0.946554979415199,0.600020198310907,0.0293947223211491
0.28,0.985305550387116,0.957265467394695,0.600020462710576,0.0280400829924213
0.29,0.992171618148969,0.96590664727827,0.600020556000289,0.0262649708706992
0.3,0.996530810554519,0.972493060479409,0.60002048883279,0.0240377500751099
0.31,0.998372367120098,0.977043470374038,0.600020284392489,0.0213288967460602
0.32,0.99769188789298,0.979581182998856,0.600019980210837,0.0181107048941239
0.33,0.994491343929476,0.980134093731809,0.600019629888726,0.0143572501976668
0.34,0.988779071679049,0.978734440704194,0.600019304702649,0.0100446309748552
0.35,0.980569751290242,0.975418238174183,0.600019095069728,0.00515151311605866
0.36,0.969884368894834,0.970224357404413,0.600019111843981,-0.000339988509579503
0.37,0.956750162967073,0.963193222177146,0.600019487411492,-0.00644305921007304
0.38,0.941200554895102,0.954365094814198,0.600020376544192,-0.0131645399190961
0.39,0.923275063941505,0.943777950958253,0.600021956958562,-0.0205028870167483
0.4,0.903019206809359,0.931464982242436,0.600024429504491,-0.0284457754330767
0.41,0.880484382069009,0.917451829355326,0.600028017878169,-0.036967447286317
0.42,0.855727739739025,0.901753735033532,0.600032967485115,-0.0460259952945069
0.43,0.828812036352257,0.884374787878617,0.600039542969939,-0.05556275152636
0.44,0.799805475874532,0.865315112798747,0.600048025763396,-0.0655096369242153
0.45,0.768781536879241,0.844574390686698,0.600058711348857,-0.0757928538074566
0.46,0.735818786415751,0.822153860729697,0.600071906151565,-0.0863350743139462
0.47,0.701000681043126,0.798057995230197,0.600087924047385,-0.0970573141870709
0.48,0.664415355533017,0.772295864516334,0.600107082486465,-0.107880508983317
0.49,0.626155399776694,0.744882192405962,0.600129698229054,-0.118726792629268
0.5,0.586317624460921,0.715838106868952,0.600156082695987,-0.129520482408031
0.51,0.545002816105684,0.6851916049175,0.600186536945944,-0.140188788811816
0.52,0.502315482083608,0.652977767695845,0.60022134630588,-0.150662285612237
0.53,0.458363586266136,0.619238776026293,0.600260774700521,-0.160875189760157
0.54,0.413258275965153,0.584023785138371,0.600305058751247,-0.170765509173218
0.55,0.367113600860663,0.547388718599095,0.600354401743328,-0.180275117738432
0.56,0.320046224625295,0.509396035697583,0.600408967591378,-0.189349811072288
0.57,0.272175129974799,0.470114514945628,0.600468874963552,-0.197939384970829
0.58,0.223621317890215,0.429619080866787,0.600534191751921,-0.205997762976572
0.59,0.17450750177206,0.387990684107899,0.600604930095785,-0.213483182335839
0.6,0.124957797299586,0.345316228357617,0.600681042172857,-0.220358431058031
0.61,0.0750974087789453,0.301688523565283,0.600762416967248,-0.226591114786338
0.62,0.0250523127728936,0.257206235022097,0.600848878201488,-0.232153922249203
0.63,-0.0250510601885696,0.211973792897228,0.600940183582521,-0.237024853085798
0.64,-0.0750861450124318,0.166101227051382,0.601036025460832,-0.241187372063814
0.65,-0.124926561754866,0.119703896961672,0.601136032935846,-0.244630458716538
0.66,-0.174446434833777,0.0729020388448002,0.60123977505228,-0.247348473678577
0.67,-0.223520710935427,0.0258174215606898,0.601346764510794,-0.249338132496117
0.68,-0.272025474812255,-0.0214221084539459,0.601456464769653,-0.250603366358309
0.69,-0.319838262174408,-0.0686843076705629,0.601568297887346,-0.251153954503845
0.7,-0.366838368884911,-0.115834142249981,0.601681652869536,-0.25100422663493
0.71,-0.412907155677845,-0.162735289348928,0.601795894299011,-0.250171866328917
0.72,-0.457928347630268,-0.209251509605711,0.60191037105221,-0.248676838024557
0.73,-0.501788327631939,-0.25524787611458,0.602024424936593,-0.246540451517359
0.74,-0.544376423112167,-0.300591853196572,0.602137399116099,-0.243784569915595
0.75,-0.58558518530019,-0.345154225068656,0.602248646224248,-0.240430960231534
0.76,-0.625310660314427,-0.388809879840785,0.602357536094024,-0.236500780473642
0.77,-0.663452651396666,-0.431438458087651,0.602463463059066,-0.232014193309015
0.78,-0.699914971629673,-0.472924877653982,0.602565852764371,-0.226990093975691
0.79,-0.734605686500817,-0.51315981709076,0.602664167441607,-0.221445869410057
0.8,-0.767437345700033,-0.552041396446225,0.602757912388848,-0.215395949253808
0.81,-0.798327203567663,-0.589470762171957,0.602846642948823,-0.208856441395706
0.82,-0.827197427636497,-0.62535566377356,0.602929969446844,-0.201841763862937
