Time_s,Signal,Predicted,EstFreq_Hz,Error
0,0,0,0.6,0
0.01,0.0502392939991648,0,0.600000000074805,0.0502392939991648
0.02,0.100341644515345,0.0502424335112876,0.600000000793535,0.0500992110040574
0.03,0.150180528203496,0.100549360470797,0.600000004264886,0.0496311677326995
0.04,0.19963011249687,0.151054971604347,0.600000015035277,0.048575140892523
0.05,0.248565573302328,0.201900352806293,0.600000038145817,0.0466652204960347
0.06,0.296863410084881,0.252776103838063,0.60000007582511,0.0440873062468176
0.07,0.344401757546112,0.303002941407518,0.600000127604283,0.0413988161385938
0.08,0.391060693109916,0.352101045451361,0.600000191971209,0.0389596476585545
0.09,0.436722539439735,0.399870188368864,0.60000026720925,0.0368523510708709
0.1,0.481272161224178,0.446217483494948,0.600000351643568,0.0350546777292297
0.11,0.52459725548252,0.491064740780453,0.600000443718755,0.0335325147020666
0.12,0.566588634658123,0.534324247015071,0.600000542040774,0.0322643876430522
0.13,0.607140501786172,0.575897480865393,0.600000645406389,0.031243020920779
0.14,0.646150717042273,0.615680364904759,0.600000752813694,0.0304703521375141
0.15,0.683521055000376,0.653571042196819,0.600000863439329,0.0299500128035568
0.16,0.719157451952104,0.689478753455099,0.600000976570437,0.0296786984970052
0.17,0.752970242664754,0.723331852396538,0.600001091492192,0.0296383902682158
0.18,0.784874385982105,0.755082350686179,0.600001207351143,0.0297920352959259
0.19,0.8147896787004,0.784705298093361,0.6000013230294,0.0300843806070389
0.2,0.842640957181654,0.812193651439453,0.600001437064282,0.0304473057422012
0.21,0.868358286197475,0.837551232004768,0.600001547632945,0.0308070541927072
0.22,0.891877134528979,0.860786478436097,0.600001652602695,0.0310906560928815
0.23,0.913138536881901,0.881908411291015,0.60000174963541,0.0312301255908857
0.24,0.932089241710668,0.900924866255499,0.600001836330696,0.0311643754551694
0.25,0.948681844580867,0.917842360855418,0.600001910394207,0.0308394837254492
0.26,0.962874906736159,0.93266686949662,0.600001969821023,0.0302080372395386
0.27,0.974633058573105,0.945404962413001,0.600002013087183,0.0292280961601038
0.28,0.983927087765558,0.956064979109806,0.600002039344642,0.0278621086557521
0.29,0.990734011819123,0.964658065506169,0.600002048616295,0.0260759463129536
0.3,0.995037134875511,0.971198997353718,0.600002041988412,0.0238381375217935
0.31,0.996826088626472,0.975706758188995,0.600002021798134,0.0211193304374767
0.32,0.996096857237149,0.978204856911081,0.600001991813838,0.0178920003260679
0.33,0.992851786219079,0.97872137150239,0.600001957406148,0.0141304147166891
0.34,0.987099575233652,0.97728869978849,0.600001925707292,0.00981087544516235
0.35,0.978855254847425,0.973942990643319,0.600001905756344,0.00491226420410573
0.36,0.968140147301197,0.968723223407756,0.600001908627612,-0.000583076106559277
0.37,0.954981811395136,0.961669902942235,0.600001947538984,-0.0066880915470986
0.38,0.939413971632365,0.952823346534897,0.600002037936213,-0.0134093749025325
0.39,0.921476431803096,0.942221561335468,0.600002197547809,-0.0207451295323722
0.4,0.90121497323073,0.929897751885495,0.600002446403065,-0.0286827786547647
0.41,0.878681237939975,0.915877560666449,0.600002806802623,-0.0371963227264738
0.42,0.853932597045116,0.900176231483471,0.600003303204035,-0.0462436344383553
0.43,0.827032004693816,0.882797870407959,0.600003961973774,-0.0557658657141429
0.44,0.798047837938252,0.863742677492681,0.600004811141795,-0.0656948395544293
0.45,0.767053722940864,0.84301046517847,0.600005880128303,-0.0759567422376062
0.46,0.734128347956425,0.820602651087574,0.600007199433012,-0.086474303131149
0.47,0.699355263565446,0.796523925111877,0.600008800286626,-0.0971686615464306
0.48,0.662822670666066,0.770783607535011,0.60001071426416,-0.107960936868945
0.49,0.624623196762354,0.743396698244417,0.600012972859898,-0.118773501482063
0.5,0.58485366111643,0.714384621489159,0.600015607024339,-0.129530960372729
0.51,0.543614829359831,0.683775685112637,0.600018646664436,-0.140160855752806
0.52,0.501011158186026,0.651605290139674,0.600022120109833,-0.150594131953648
0.53,0.457150530770952,0.617915940848207,0.600026053549745,-0.160765410077255
0.54,0.412143983591684,0.582757113875771,0.600030470447545,-0.170613130284087
0.55,0.366105425335005,0.546185046159412,0.60003539094291,-0.180079620824407
0.56,0.319151348607422,0.508262495724463,0.600040831254445,-0.189111147117041
0.57,0.271400535176262,0.46905851776324,0.600046803098682,-0.197657982586978
0.58,0.222973755487651,0.428648283013777,0.600053313143987,-0.205674527526126
0.59,0.17399346322148,0.387112948407759,0.600060362519773,-0.213119485186279
0.6,0.124583485655886,0.34453957353709,0.600067946402169,-0.219956087881204
0.61,0.0748687106241443,0.301021062645355,0.600076053696671,-0.226152352021211
0.62,0.0249747708553679,0.256656102068163,0.600084666836106,-0.231681331212795
0.63,-0.0249722735031518,0.211549058207581,0.600093761708514,-0.236521331710733
0.64,-0.0748462533797119,0.165809801449308,0.600103307724565,-0.24065605482902
0.65,-0.124521209483399,0.11955342648467,0.600113268027899,-0.244074635968069
0.66,-0.173871710415678,0.0728998282187749,0.600123599813354,-0.246771538634453
0.67,-0.222773169384997,0.0259702638263795,0.600134254691137,-0.248743433211377
0.68,-0.271102158724703,-0.0211080538317192,0.600145179389569,-0.249994104892984
0.69,-0.318736721420297,-0.0682036337210863,0.600156316530274,-0.250533087699211
0.7,-0.365556678859749,-0.115182307612162,0.600167605452523,-0.250374371247587
0.71,-0.4114439340303,-0.16190872307927,0.600178983065044,-0.24953521095103
0.72,-0.456282769396844,-0.208247705541418,0.600190384706133,-0.248035063855426
0.73,-0.499960138710534,-0.2540654750416,0.600201744995962,-0.245894663668934
0.74,-0.5423659520118,-0.299230711460207,0.600212998668258,-0.243135240551593
0.75,-0.583393353109225,-0.343615468638355,0.600224081371726,-0.239777884470871
0.76,-0.622938988834954,-0.387095943191058,0.600234930434455,-0.235843045643896
0.77,-0.660903269398153,-0.429553107578139,0.600245485587052,-0.231350161820014
0.78,-0.697190619180708,-0.470873219381444,0.600255689640908,-0.226317399799264
0.79,-0.731709717343587,-0.510948244664928,0.600265489010542,-0.220761472678659
0.8,-0.764373727638179,-0.549677706179154,0.600274834355349,-0.214696021459025
0.81,-0.795100516844305,-0.586964032892311,0.600283681281792,-0.208136483951994
0.82,-0.823812861285419,-0.6227162031684,0.600291990839837,-0.201096658117019
0.83,-0.850438640901774,-0.656849898923922,0.600299729971575,-0.193588741977852
0.84,-0.874911020393833,-0.689287584908622,0.60030687191463,-0.185623435485211
0.85,-0.897168616980978,-0.719958521091413,0.60031339656262,-0.177210095889565
0.86,-0.917155654354454,-0.748798715333367,0.600319290784432,-0.168356939021087
0.87,-0.934822102438452,-0.775750822439623,0.600324548703347,-0.159071279998829
0.88,-0.950123802609155,-0.800763994453378,0.600329171936268,-0.149359808155777
0.89,-0.963022578058365,-0.823793685814176,0.60033316979247,-0.139228892244189
0.9,-0.973486329025934,-0.844801415852352,0.60033655943044,-0.128684913173582
0.91,-0.981489112663464,-0.863754490114265,0.600339365970486,-0.117734622549199
0.92,-0.987011207330643,-0.880625672467997,0.600341622552235,-0.106385534862646
0.93,-0.990039161164918,-0.895392008188929,0.600343370370307,-0.0946471529759887
0.94,-0.990565824804972,-0.908035279713517,0.60034465862875,-0.0825305450914551
0.95,-0.988590368188528,-0.918541711097264,0.60034554443143,-0.070048657091264
0.96,-0.984118281385215,-0.926901646996714,0.600346092604657,-0.057216634388501
