Time_s,Signal,Predicted,EstFreq_Hz,Error
0,0,0,1,0
0.01,0.0502392939991648,0,1.00000000122452,0.0502392939991648
0.02,0.100341644515345,0.0503324314292823,1.00000001231289,0.0500092130860627
0.03,0.150180528203496,0.10102226008126,1.00000005863979,0.0491582681222363
0.04,0.19963011249687,0.152348970376719,1.00000017273569,0.0472811421201506
0.05,0.248565573302328,0.203960661585225,1.00000036773644,0.0446049117171032
0.06,0.296863410084881,0.254913800664275,1.00000063725462,0.0419496094206063
0.07,0.344401757546112,0.304619162153124,1.00000096799073,0.0397825953929883
0.08,0.391060693109916,0.352900980945333,1.00000134505655,0.0381597121645829
0.09,0.436722539439735,0.399705777159068,1.00000175285069,0.037016762280667
0.1,0.481272161224178,0.444978627410832,1.00000217483959,0.0362935338133462
0.11,0.52459725548252,0.488636725385748,1.00000259306495,0.0359605300967716
0.12,0.566588634658123,0.530566691706467,1.00000298743138,0.0360219429516558
0.13,0.607140501786172,0.570624717966266,1.00000333461529,0.0365157838199064
0.14,0.646150717042273,0.608636542761562,1.00000360631198,0.0375141742807109
0.15,0.683521055000376,0.644399303809273,1.00000376644281,0.0391217511911026
0.16,0.719157451952104,0.677688630068564,1.00000376695632,0.0414688218835397
0.17,0.752970242664754,0.708272840171667,1.00000354210739,0.0446974024930866
0.18,0.784874385982105,0.735931782667158,1.00000300164177,0.0489426033149467
0.19,0.8147896787004,0.760474200169867,1.00000202402246,0.0543154785305329
0.2,0.842640957181654,0.781750039498569,1.00000045156447,0.0608909176830845
0.21,0.868358286197475,0.799662604704755,0.999998090280121,0.0686956814927204
0.22,0.891877134528979,0.814192684171365,0.999994718746356,0.0776844503576144
0.23,0.913138536881901,0.825447522588161,0.999990112104867,0.0876910142937403
0.24,0.932089241710668,0.833740597498904,0.999984087271187,0.0983486442117637
0.25,0.948681844580867,0.839689068528823,0.999976568828761,0.108992776052044
0.26,0.962874906736159,0.844276032225479,0.999967604136652,0.11859887451068
0.27,0.974633058573105,0.848204308424764,0.999957355563616,0.126428750148341
0.28,0.983927087765558,0.851789444329976,0.999946059798941,0.132137643435582
0.29,0.990734011819123,0.855088817060674,0.999933983554162,0.135645194758449
0.3,0.995037134875511,0.857997944850497,0.999921385781099,0.137039190025014
0.31,0.996826088626472,0.860328073783873,0.999908492131441,0.136498014842599
0.32,0.996096857237149,0.861857785964113,0.999895482349881,0.134239071273036
0.33,0.992851786219079,0.862357352263659,0.999882488276095,0.13049443395542
0.34,0.987099575233652,0.861594270262802,0.999869599181573,0.12550530497085
0.35,0.978855254847425,0.859332550885814,0.999856871264139,0.119522703961611
0.36,0.968140147301197,0.855336261463932,0.999844338671075,0.112803885837265
0.37,0.954981811395136,0.849378628355283,0.999832023768679,0.105603183039853
0.38,0.939413971632365,0.841256075748496,0.999819945062739,0.0981578958838694
0.39,0.921476431803096,0.830809659978205,0.99980812345184,0.0906667718248908
0.4,0.90121497323073,0.817928682039451,0.999796585429908,0.0832862911912788
0.41,0.878681237939975,0.80255650198916,0.999785364897238,0.0761247359508155
0.42,0.853932597045116,0.784687948192839,0.999774504022093,0.0692446488522774
0.43,0.827032004693816,0.76436274302408,0.999764053712266,0.062669261669736
0.44,0.798047837938252,0.741657230640521,0.999754074042797,0.0563906072977308
0.45,0.767053722940864,0.71667614854412,0.999744634793104,0.0503775743967443
0.46,0.734128347956425,0.689545444334834,0.999735816110304,0.0445829036215913
