Time,Motor1_Filtered,Motor2_Filtered,Motor3_Filtered,Motor4_Filtered
0.75,613.481077577916,608.654891606087,609.448339330644,613.059187364231
0.76,614.693615688777,609.689402445478,610.503505397579,614.253268627808
0.77,615.7242541199,610.620462200931,611.490656757437,615.327941765027
0.78,616.792741750789,611.564100762997,612.512047603133,616.400832370684
0.79,618.01346757571,612.607690686697,613.560842842819,617.560749133615
0.8,619.181252234225,613.650618742157,614.573889974624,618.67380563634
0.81,620.330755716207,614.785556867941,615.616500977161,619.806425072706
0.82,621.396025915595,615.839783104817,616.620414726784,620.891346412775
0.83,622.556423324036,616.855804794335,617.658373254106,622.002211771497
0.84,623.629650187686,617.799093510955,618.621405124749,623.030859790401
0.85,624.666685168917,618.71918415986,619.559264612274,624.027773811361
0.86,625.689668102409,619.636917194257,620.49298960143,625.014647880608
0.87,626.820701292168,620.673225474831,621.543690641287,626.113183092548
0.88,627.868135360834,621.635407125231,622.518825775041,627.131368981176
0.89,628.881321824751,622.571866412708,623.466943197537,628.118232083058
0.9,629.820996508814,623.442486637975,624.348055744321,629.03421574129
0.91,630.738896857932,624.298237974177,625.213250169889,629.930794167161
0.92,631.565007172139,625.06841417676,625.9919251529,630.737714750445
0.93,632.308506454925,625.761572759084,626.69273263761,631.4639432754
0.94,632.977655809432,626.385415483175,627.323459373849,632.11754894786
0.95,633.55543380523,626.946873934858,627.891113436464,632.705794053074
0.96,634.023582270001,627.499570231961,628.425693938112,633.258906493061
0.97,634.521224043001,628.149613208765,628.983124544301,633.833015843755
0.98,634.990930590456,628.756480839644,629.506641041626,634.371543211135
0.99,635.491837531411,629.380832755679,630.055976937464,634.934388890022
1,635.94265377827,629.942749480111,630.550379243717,635.440950001019
