Time_s,Signal,Primary,Secondary,TrueAmp,TrueFreq_Primary_Hz,TrueFreq_Secondary_Hz
0,0.00657745314138152,0,0,1,0.8,5
0.01,0.157295952535687,0.0502392939991648,0.092695828266163,0.999900004999833,0.8,5
0.02,0.261291626465276,0.100341644515345,0.176300312099081,0.999800019998667,0.8,5
0.03,0.410341271226702,0.150180528203496,0.242632297703628,0.9997000449955,0.8,5
0.04,0.497663471945183,0.19963011249687,0.285202850928904,0.999600079989334,0.8,5
0.05,0.549352034989735,0.248565573302328,0.299850037493751,0.999500124979169,0.8,5
0.06,0.597810214429169,0.296863410084881,0.285145816062395,0.999400179964005,0.8,5
0.07,0.589384858498606,0.344401757546112,0.242535264192542,0.999300244942843,0.8,5
0.08,0.557052713192327,0.391060693109916,0.176194563639532,0.999200319914684,0.8,5
0.09,0.540622647516322,0.436722539439735,0.0926217012583067,0.999100404878527,0.8,5
0.1,0.503596848239309,0.481272161224178,3.67026829340265e-17,0.999000499833375,0.8,5
0.11,0.42425160577775,0.52459725548252,-0.0926031787703655,0.998900604778228,0.8,5
0.12,0.380449961885741,0.566588634658123,-0.176124099907762,0.998800719712086,0.8,5
0.13,0.37613397859202,0.607140501786172,-0.242389786681644,0.998700844633952,0.8,5
0.14,0.36099341052327,0.646150717042273,-0.284917790631879,0.998600979542827,0.8,5
0.15,0.370332394713529,0.683521055000376,-0.299550337331313,0.998501124437711,0.8,5
0.16,0.446659801014438,0.719157451952104,-0.284860812771728,0.998401279317606,0.8,5
0.17,0.509136639070612,0.752970242664754,-0.24229285015557,0.998301444181515,0.8,5
0.18,0.600903862973366,0.784874385982105,-0.176018457143816,0.998201619028437,0.8,5
0.19,0.716444827011221,0.8147896787004,-0.092529125852466,0.998101803857376,0.8,5
0.2,0.837664317218049,0.842640957181654,-7.33319971926366e-17,0.998001998667333,0.8,5
0.21,0.970243188133736,0.868358286197475,0.0925106218777545,0.99790220345731,0.8,5
0.22,1.05626792435885,0.891877134528979,0.175948063840557,0.997802418226309,0.8,5
0.23,1.15997829353656,0.913138536881901,0.242147518049468,0.997702642973332,0.8,5
0.24,1.22676637060618,0.932089241710668,0.284633015252668,0.997602877697382,0.8,5
0.25,1.23933435506651,0.948681844580867,0.299250936719238,0.99750312239746,0.8,5
0.26,1.25079486631207,0.962874906736159,0.284576094341898,0.99740337707257,0.8,5
0.27,1.20014904486259,0.974633058573105,0.242050678411467,0.997303641721713,0.8,5
0.28,1.16673840066526,0.983927087765558,0.175842526666571,0.997203916343893,0.8,5
0.29,1.07194856052485,0.990734011819123,0.0924366429757588,0.997104200938112,0.8,5
0.3,1.00310076784087,0.995037134875511,1.09888052773835e-16,0.997004495503373,0.8,5
0.31,0.908743581784974,0.996826088626472,-0.092418157495773,0.996904800038679,0.8,5
0.32,0.816210653803213,0.996096857237149,-0.175772203721431,0.996805114543033,0.8,5
0.33,0.73614761287645,0.992851786219079,-0.24190549156483,0.996705439015438,0.8,5
0.34,0.71606691898985,0.987099575233652,-0.284348524506496,0.996605773454898,0.8,5
0.35,0.681430447962678,0.978855254847425,-0.298951835358124,0.996506117860415,0.8,5
0.36,0.700621479000705,0.968140147301197,-0.284291660488186,0.996406472230993,0.8,5
0.37,0.713258713606183,0.954981811395136,-0.241808748718063,0.996306836565637,0.8,5
0.38,0.745963347384742,0.939413971632365,-0.175666772031868,0.996207210863348,0.8,5
0.39,0.846032845097342,0.921476431803096,-0.0923442525357023,0.996107595123132,0.8,5
0.4,0.898301085883195,0.90121497323073,-1.46370959529037e-16,0.996007989343991,0.8,5
0.41,0.980251025545272,0.878681237939975,0.0923257855319573,0.995908393524931,0.8,5
0.42,1.02230671357638,0.853932597045116,0.175596519374524,0.995808807664954,0.8,5
0.43,1.0748140574701,0.827032004693816,0.241663706985703,0.995709231763066,0.8,5
0.44,1.0904620406772,0.798047837938252,0.284064318108872,0.99560966581827,0.8,5
0.45,1.07583761693582,0.767053722940864,0.298653032948871,0.995510109829571,0.8,5
0.46,1.02312634808909,0.734128347956425,0.284007510926158,0.995410563795972,0.8,5
0.47,0.940514215113108,0.699355263565446,0.241567060833428,0.99531102771648,0.8,5
0.48,0.839758641171624,0.662822670666066,0.175491193063952,0.995211501590097,0.8,5
0.49,0.719898601137209,0.624623196762354,0.092251954439906,0.99511198541583,0.8,5
0.5,0.577469043763716,0.58485366111643,1.82780827163249e-16,0.995012479192682,0.8,5
0.51,0.456885555779125,0.543614829359831,-0.0922335058939343,0.99491298291966,0.8,5
0.52,0.314945403383552,0.501011158186026,-0.17542101062415,0.994813496595767,0.8,5
0.53,0.196674588550583,0.457150530770952,-0.241422164070304,0.994714020220009,0.8,5
0.54,0.130029245071522,0.412143983591684,-0.28378039577559,0.994614553791391,0.8,5
0.55,0.0697282145064241,0.366105425335005,-0.298354529192676,0.994515097308919,0.8,5
0.56,0.0376350662492819,0.319151348607422,-0.283723645371664,0.994415650771598,0.8,5
0.57,0.0478033594675684,0.271400535176262,-0.241325614515874,0.994316214178433,0.8,5
0.58,0.0599867906479657,0.222973755487651,-0.175315789587243,0.994216787528431,0.8,5
0.59,0.100471644215197,0.17399346322148,-0.0921597485960724,0.994117370820596,0.8,5
0.6,0.126786992029152,0.124583485655886,-2.19117765235252e-16,0.994017964053935,0.8,5
0.61,0.17609638366215,0.0748687106241443,0.0921413184894239,0.993918567227454,0.8,5
0.62,0.194308745940642,0.0249747708553679,0.175245677294801,0.993819180340158,0.8,5
0.63,0.213898790529904,-0.0249722735031518,0.241180862577089,0.993719803391055,0.8,5
