Time_s,Signal,TrueAmp,TruePhase_rad,TrueFreq_Hz
36.45,0.546191025847751,0.694543835992463,183.217683557357,0.8
36.46,0.563537259460726,0.694474385081468,183.267949039814,0.8
36.47,0.655932455255385,0.694404941115216,183.318214522272,0.8
36.48,0.550537555728887,0.694335504093013,183.368480004729,0.8
36.49,0.649037268466211,0.694266074014166,183.418745487186,0.8
36.5,0.664545692537071,0.694196650877979,183.469010969644,0.8
36.51,0.649213468425295,0.694127234683759,183.519276452101,0.8
36.52,0.611667420927698,0.694057825430811,183.569541934559,0.8
36.53,0.855637162373065,0.693988423118441,183.619807417016,0.8
36.54,0.721979479534642,0.693919027745956,183.670072899474,0.8
36.55,0.822992382450305,0.693849639312661,183.720338381931,0.8
36.56,0.717691107065872,0.693780257817862,183.770603864389,0.8
36.57,0.667875445739844,0.693710883260866,183.820869346846,0.8
36.58,0.706485812385505,0.693641515640978,183.871134829303,0.8
36.59,0.706369497734107,0.693572154957506,183.921400311761,0.8
36.6,0.572253772286898,0.693502801209756,183.971665794218,0.8
36.61,0.647847036777895,0.693433454397033,184.021931276676,0.8
36.62,0.685188888600997,0.693364114518645,184.072196759133,0.8
36.63,0.617499479125778,0.693294781573898,184.122462241591,0.8
36.64,0.649674926880584,0.693225455562099,184.172727724048,0.8
36.65,0.597300301052974,0.693156136482555,184.222993206505,0.8
36.66,0.640685177958352,0.693086824334572,184.273258688963,0.8
36.67,0.552242868034009,0.693017519117457,184.32352417142,0.8
36.68,0.50354911897993,0.692948220830517,184.373789653878,0.8
36.69,0.546938572639597,0.69287892947306,184.424055136335,0.8
36.7,0.502203145319907,0.692809645044392,184.474320618793,0.8
36.71,0.566991070791856,0.69274036754382,184.52458610125,0.8
36.72,0.496900283903478,0.692671096970652,184.574851583708,0.8
36.73,0.403345011965125,0.692601833324195,184.625117066165,0.8
36.74,0.458209658649709,0.692532576603756,184.675382548622,0.8
36.75,0.431814583939206,0.692463326808643,184.72564803108,0.8
36.76,0.294562988462564,0.692394083938164,184.775913513537,0.8
36.77,0.272619467823904,0.692324847991625,184.826178995995,0.8
36.78,0.282791411200671,0.692255618968335,184.876444478452,0.8
36.79,0.331161518750541,0.692186396867601,184.92670996091,0.8
36.8,0.192656097630544,0.69211718168873,184.976975443367,0.8
36.81,0.195156488423387,0.692047973431032,185.027240925824,0.8
36.82,0.217174698064806,0.691978772093814,185.077506408282,0.8
36.83,0.114251765973,0.691909577676383,185.127771890739,0.8
36.84,0.10069536090123,0.691840390178048,185.178037373197,0.8
36.85,0.136865951591226,0.691771209598117,185.228302855654,0.8
36.86,0.0820760410860994,0.691702035935897,185.278568338112,0.8
36.87,0.0510979351523079,0.691632869190699,185.328833820569,0.8
36.88,-0.000431057801483309,0.691563709361829,185.379099303026,0.8
36.89,-0.175808249367725,0.691494556448596,185.429364785484,0.8
36.9,-0.0808193578090801,0.691425410450308,185.479630267941,0.8
36.91,-0.0329304803826531,0.691356271366275,185.529895750399,0.8
36.92,-0.114831573005916,0.691287139195805,185.580161232856,0.8
36.93,-0.184573617796286,0.691218013938206,185.630426715314,0.8
36.94,-0.212623159154344,0.691148895592787,185.680692197771,0.8
36.95,-0.274238351246846,0.691079784158857,185.730957680229,0.8
36.96,-0.322834555679135,0.691010679635725,185.781223162686,0.8
36.97,-0.36407707188258,0.690941582022699,185.831488645143,0.8
36.98,-0.411962722009056,0.69087249131909,185.881754127601,0.8
36.99,-0.355372487291445,0.690803407524205,185.932019610058,0.8
37,-0.291031193845173,0.690734330637355,185.982285092516,0.8
37.01,-0.601155226607927,0.690665260657847,186.032550574973,0.8
37.02,-0.417504105158586,0.690596197584993,186.082816057431,0.8
37.03,-0.486465254104751,0.6905271414181,186.133081539888,0.8
37.04,-0.545875999538877,0.690458092156479,186.183347022345,0.8
