Time_s,Signal,TrueAmp,TruePhase_rad,TrueFreq_Hz
36.63,0.655544101976331,0.693294781573898,184.122462241591,0.8
36.64,0.636964373659536,0.693225455562099,184.172727724048,0.8
36.65,0.628340647838389,0.693156136482555,184.222993206505,0.8
36.66,0.606674921965263,0.693086824334572,184.273258688963,0.8
36.67,0.602371104016198,0.693017519117457,184.32352417142,0.8
36.68,0.57372437807853,0.692948220830517,184.373789653878,0.8
36.69,0.554648826467523,0.69287892947306,184.424055136335,0.8
36.7,0.536392375741389,0.692809645044392,184.474320618793,0.8
36.71,0.507186760542861,0.69274036754382,184.52458610125,0.8
36.72,0.475603500847533,0.692671096970652,184.574851583708,0.8
36.73,0.470995220235519,0.692601833324195,184.625117066165,0.8
36.74,0.428804083215529,0.692532576603756,184.675382548622,0.8
36.75,0.434263680765439,0.692463326808643,184.72564803108,0.8
36.76,0.374625541253281,0.692394083938164,184.775913513537,0.8
36.77,0.362261601816534,0.692324847991625,184.826178995995,0.8
36.78,0.319398029493777,0.692255618968335,184.876444478452,0.8
36.79,0.301072292090677,0.692186396867601,184.92670996091,0.8
36.8,0.259225460007766,0.69211718168873,184.976975443367,0.8
36.81,0.21507900747168,0.692047973431032,185.027240925824,0.8
36.82,0.180275544722042,0.691978772093814,185.077506408282,0.8
36.83,0.149293894414163,0.691909577676383,185.127771890739,0.8
36.84,0.134873210008894,0.691840390178048,185.178037373197,0.8
36.85,0.0963723512459525,0.691771209598117,185.228302855654,0.8
36.86,0.054290868450815,0.691702035935897,185.278568338112,0.8
36.87,0.0151989366333432,0.691632869190699,185.328833820569,0.8
36.88,-0.0367740600204982,0.691563709361829,185.379099303026,0.8
36.89,-0.0384042028838577,0.691494556448596,185.429364785484,0.8
36.9,-0.0974864999515261,0.691425410450308,185.479630267941,0.8
36.91,-0.121639602282673,0.691356271366275,185.529895750399,0.8
36.92,-0.151106566513597,0.691287139195805,185.580161232856,0.8
36.93,-0.197640728698849,0.691218013938206,185.630426715314,0.8
36.94,-0.230718667082094,0.691148895592787,185.680692197771,0.8
36.95,-0.260046072580893,0.691079784158857,185.730957680229,0.8
36.96,-0.291230466165454,0.691010679635725,185.781223162686,0.8
36.97,-0.314942497869557,0.690941582022699,185.831488645143,0.8
36.98,-0.338811567136375,0.69087249131909,185.881754127601,0.8
36.99,-0.388285721149571,0.690803407524205,185.932019610058,0.8
37,-0.422067646802912,0.690734330637355,185.982285092516,0.8
37.01,-0.42734916005539,0.690665260657847,186.032550574973,0.8
37.02,-0.466044978719198,0.690596197584993,186.082816057431,0.8
37.03,-0.475449655468847,0.6905271414181,186.133081539888,0.8
37.04,-0.505321642618067,0.690458092156479,186.183347022345,0.8
37.05,-0.545836036187584,0.690389049799439,186.233612504803,0.8
37.06,-0.53957118819581,0.690320014346289,186.28387798726,0.8
37.07,-0.573623790553304,0.690250985796339,186.334143469718,0.8
37.08,-0.605406146887425,0.6901819641489,186.384408952175,0.8
37.09,-0.606304068921102,0.69011294940328,186.434674434633,0.8
37.1,-0.618374478956823,0.690043941558789,186.48493991709,0.8
37.11,-0.624619834701016,0.689974940614738,186.535205399548,0.8
37.12,-0.643368190324067,0.689905946570436,186.585470882005,0.8
37.13,-0.665967452676758,0.689836959425194,186.635736364462,0.8
37.14,-0.673940366196106,0.689767979178321,186.68600184692,0.8
37.15,-0.700669326104737,0.689699005829128,186.736267329377,0.8
37.16,-0.684599133157382,0.689630039376925,186.786532811835,0.8
37.17,-0.69228728734243,0.689561079821023,186.836798294292,0.8
37.18,-0.678543886151922,0.689492127160731,186.88706377675,0.8
37.19,-0.697429384470088,0.689423181395361,186.937329259207,0.8
37.2,-0.696511482363013,0.689354242524222,186.987594741665,0.8
37.21,-0.686633220574356,0.689285310546626,187.037860224122,0.8
37.22,-0.689532385549506,0.689216385461883,187.088125706579,0.8
37.23,-0.680582057877443,0.689147467269304,187.138391189037,0.8
37.24,-0.665305458799182,0.6890785559682,187.188656671494,0.8
37.25,-0.651204025141331,0.689009651557881,187.238922153952,0.8
37.26,-0.630408468694984,0.688940754037659,187.289187636409,0.8
37.27,-0.634252913257598,0.688871863406844,187.339453118867,0.8
37.28,-0.612495590421323,0.688802979664747,187.389718601324,0.8
37.29,-0.624396415867381,0.688734102810681,187.439984083781,0.8
37.3,-0.59732945603718,0.688665232843956,187.490249566239,0.8
37.31,-0.564384947015616,0.688596369763883,187.540515048696,0.8
37.32,-0.532620028561185,0.688527513569773,187.590780531154,0.8
37.33,-0.508018870265416,0.688458664260939,187.641046013611,0.8
37.34,-0.490498737067807,0.688389821836692,187.691311496069,0.8
37.35,-0.482051795476263,0.688320986296343,187.741576978526,0.8
37.36,-0.436712751167786,0.688252157639203,187.791842460983,0.8
37.37,-0.433263701163407,0.688183335864585,187.842107943441,0.8
37.38,-0.3815637522161,0.688114520971801,187.892373425898,0.8
37.39,-0.361605698511335,0.688045712960162,187.942638908356,0.8
37.4,-0.342958297987361,0.687976911828979,187.992904390813,0.8
37.41,-0.287967797723258,0.687908117577566,188.043169873271,0.8
37.42,-0.267063787037001,0.687839330205235,188.093435355728,0.8
37.43,-0.215126584132775,0.687770549711296,188.143700838186,0.8
37.44,-0.219871087744579,0.687701776095063,188.193966320643,0.8
37.45,-0.165091181845979,0.687633009355848,188.2442318031,0.8
37.46,-0.133327319752241,0.687564249492963,188.294497285558,0.8
37.47,-0.0945041004083705,0.68749549650572,188.344762768015,0.8
37.48,-0.0729651500197535,0.687426750393432,188.395028250473,0.8
37.49,-0.0303931052703805,0.687358011155412,188.44529373293,0.8
37.5,-0.0155513549051822,0.687289278790972,188.495559215388,0.8
37.51,0.0358217668616491,0.687220553299425,188.545824697845,0.8
37.52,0.0563797366815486,0.687151834680083,188.596090180302,0.8
37.53,0.0976921186072127,0.68708312293226,188.64635566276,0.8
37.54,0.131702086537523,0.687014418055268,188.696621145217,0.8
37.55,0.162672968610252,0.68694572004842,188.746886627675,0.8
