Time_s,Signal,TrueAmp,TruePhase_rad,TrueFreq_Hz
15.32,0.864744810215554,0.857958113028482,77.006719124793,0.8
15.33,0.841140753276671,0.857872321506827,77.0569846072504,0.8
15.34,0.846078022843293,0.857786538563895,77.1072500897079,0.8
15.35,0.836573124871515,0.857700764198828,77.1575155721653,0.8
15.36,0.831849226245249,0.857614998410769,77.2077810546228,0.8
15.37,0.828737376563609,0.85752924119886,77.2580465370802,0.8
15.38,0.816435436227086,0.857443492562243,77.3083120195376,0.8
15.39,0.79598587052815,0.857357752500062,77.3585775019951,0.8
15.4,0.762908752813873,0.857272021011457,77.4088429844525,0.8
15.41,0.752511316561384,0.857186298095574,77.4591084669099,0.8
15.42,0.733653535623476,0.857100583751553,77.5093739493674,0.8
15.43,0.718492498066369,0.857014877978537,77.5596394318248,0.8
15.44,0.686865033889431,0.856929180775671,77.6099049142823,0.8
15.45,0.654777333092315,0.856843492142097,77.6601703967397,0.8
15.46,0.640006115259336,0.856757812076957,77.7104358791971,0.8
15.47,0.595434812573864,0.856672140579396,77.7607013616546,0.8
15.48,0.56006073047669,0.856586477648556,77.810966844112,0.8
15.49,0.547434878882674,0.85650082328358,77.8612323265694,0.8
15.5,0.501808224973861,0.856415177483614,77.9114978090269,0.8
15.51,0.484567084928182,0.856329540247798,77.9617632914843,0.8
15.52,0.43470837498794,0.856243911575278,78.0120287739417,0.8
15.53,0.402271082583875,0.856158291465198,78.0622942563992,0.8
15.54,0.348770226947173,0.8560726799167,78.1125597388566,0.8
15.55,0.31264125354407,0.855987076928929,78.1628252213141,0.8
15.56,0.281667729429107,0.855901482501029,78.2130907037715,0.8
15.57,0.232302129713249,0.855815896632144,78.2633561862289,0.8
15.58,0.176188800466251,0.855730319321417,78.3136216686864,0.8
15.59,0.156941947275567,0.855644750567994,78.3638871511438,0.8
15.6,0.108733514006661,0.855559190371018,78.4141526336012,0.8
15.61,0.0648077876617615,0.855473638729635,78.4644181160587,0.8
15.62,0.0187892883640623,0.855388095642987,78.5146835985161,0.8
15.63,-0.0360412802843665,0.855302561110221,78.5649490809735,0.8
15.64,-0.0698647669584386,0.85521703513048,78.615214563431,0.8
15.65,-0.0819438375821094,0.85513151770291,78.6654800458884,0.8
15.66,-0.15663920617642,0.855046008826655,78.7157455283459,0.8
15.67,-0.172117644820373,0.854960508500859,78.7660110108033,0.8
15.68,-0.224694186239246,0.854875016724669,78.8162764932607,0.8
15.69,-0.287340656148216,0.85478953349723,78.8665419757182,0.8
15.7,-0.307595527247984,0.854704058817685,78.9168074581756,0.8
15.71,-0.357634154068032,0.854618592685181,78.967072940633,0.8
15.72,-0.403815479700973,0.854533135098863,79.0173384230905,0.8
15.73,-0.422529497274716,0.854447686057877,79.0676039055479,0.8
15.74,-0.460180406359276,0.854362245561367,79.1178693880053,0.8
15.75,-0.494166602286977,0.85427681360848,79.1681348704628,0.8
15.76,-0.530349102417339,0.85419139019836,79.2184003529202,0.8
15.77,-0.571729553654248,0.854105975330155,79.2686658353777,0.8
15.78,-0.608528491588406,0.85402056900301,79.3189313178351,0.8
15.79,-0.609953544561117,0.85393517121607,79.3691968002925,0.8
15.8,-0.671174478371213,0.853849781968482,79.41946228275,0.8
15.81,-0.69954949223743,0.853764401259391,79.4697277652074,0.8
15.82,-0.707831358070378,0.853679029087945,79.5199932476648,0.8
15.83,-0.719373585344477,0.853593665453289,79.5702587301223,0.8
15.84,-0.748128477898736,0.85350831035457,79.6205242125797,0.8
15.85,-0.771298586911212,0.853422963790934,79.6707896950372,0.8
15.86,-0.799246013064525,0.853337625761527,79.7210551774946,0.8
15.87,-0.800270621846414,0.853252296265497,79.771320659952,0.8
15.88,-0.81265797558369,0.85316697530199,79.8215861424095,0.8
15.89,-0.821671695751792,0.853081662870152,79.8718516248669,0.8
15.9,-0.82468698607999,0.852996358969132,79.9221171073243,0.8
15.91,-0.854570663568182,0.852911063598074,79.9723825897818,0.8
15.92,-0.854965224002857,0.852825776756128,80.0226480722392,0.8
15.93,-0.851042669775766,0.852740498442439,80.0729135546966,0.8
15.94,-0.843377874080751,0.852655228656155,80.1231790371541,0.8
15.95,-0.863180929206279,0.852569967396423,80.1734445196115,0.8
15.96,-0.838777217189422,0.852484714662391,80.223710002069,0.8
15.97,-0.85922860672304,0.852399470453207,80.2739754845264,0.8
15.98,-0.837394577055073,0.852314234768017,80.3242409669838,0.8
