Time_s,Signal,TrueAmp,TruePhase_rad,TrueFreq_Hz
0,-0.00520648154900176,1,0,0.8
0.01,0.0443461880311603,0.999980000199999,0.0502654824574367,0.8
0.02,0.114171475512282,0.999960000799989,0.100530964914873,0.8
0.03,0.14717324160112,0.999940001799964,0.15079644737231,0.8
0.04,0.201648256115421,0.999920003199915,0.201061929829747,0.8
0.05,0.260253268540628,0.999900004999833,0.251327412287183,0.8
0.06,0.297335697132988,0.999880007199712,0.30159289474462,0.8
0.07,0.335043040661221,0.999860009799543,0.351858377202057,0.8
0.08,0.388579996100415,0.999840012799317,0.402123859659494,0.8
0.09,0.448614892104541,0.999820016199028,0.45238934211693,0.8
0.1,0.474619480664595,0.999800019998667,0.502654824574367,0.8
0.11,0.536470744911488,0.999780024198225,0.552920307031804,0.8
0.12,0.565551539365359,0.999760028797696,0.60318578948924,0.8
0.13,0.598087560637213,0.999740033797071,0.653451271946677,0.8
0.14,0.637947825397201,0.999720039196342,0.703716754404114,0.8
0.15,0.693436353047955,0.9997000449955,0.75398223686155,0.8
0.16,0.723401975161702,0.999680051194539,0.804247719318987,0.8
0.17,0.756702532832115,0.99966005779345,0.854513201776424,0.8
0.18,0.771182107396353,0.999640064792225,0.90477868423386,0.8
0.19,0.827973085857088,0.999620072190856,0.955044166691297,0.8
0.2,0.842678676442623,0.999600079989334,1.00530964914873,0.8
0.21,0.873978859447292,0.999580088187653,1.05557513160617,0.8
0.22,0.906872954004033,0.999560096785804,1.10584061406361,0.8
0.23,0.903181652955756,0.999540105783779,1.15610609652104,0.8
0.24,0.938166171553951,0.99952011518157,1.20637157897848,0.8
0.25,0.937287972971558,0.999500124979169,1.25663706143592,0.8
0.26,0.945650575841614,0.999480135176568,1.30690254389335,0.8
0.27,0.989640736539723,0.99946014577376,1.35716802635079,0.8
0.28,0.986899200427701,0.999440156770735,1.40743350880823,0.8
0.29,0.997346471628727,0.999420168167486,1.45769899126566,0.8
0.3,0.987376453163871,0.999400179964005,1.5079644737231,0.8
0.31,1.00284127522579,0.999380192160285,1.55822995618054,0.8
0.32,0.990765064996602,0.999360204756316,1.60849543863797,0.8
0.33,1.00031455883014,0.999340217752092,1.65876092109541,0.8
0.34,0.981151184272793,0.999320231147604,1.70902640355285,0.8
0.35,0.985348966999567,0.999300244942843,1.75929188601028,0.8
0.36,0.998155910679474,0.999280259137803,1.80955736846772,0.8
0.37,0.966134384992828,0.999260273732475,1.85982285092516,0.8
0.38,0.937583655471511,0.999240288726851,1.91008833338259,0.8
0.39,0.922005247453028,0.999220304120923,1.96035381584003,0.8
0.4,0.888931561439272,0.999200319914684,2.01061929829747,0.8
0.41,0.882661464897006,0.999180336108124,2.0608847807549,0.8
0.42,0.867384085742343,0.999160352701237,2.11115026321234,0.8
0.43,0.841450238807325,0.999140369694013,2.16141574566978,0.8
0.44,0.794506443665894,0.999120387086446,2.21168122812721,0.8
0.45,0.77349594578436,0.999100404878527,2.26194671058465,0.8
0.46,0.739898783118587,0.999080423070248,2.31221219304209,0.8
0.47,0.702550649777316,0.999060441661602,2.36247767549952,0.8
0.48,0.658318062959523,0.999040460652579,2.41274315795696,0.8
0.49,0.619835857475168,0.999020480043173,2.4630086404144,0.8
0.5,0.587241300204427,0.999000499833375,2.51327412287183,0.8
0.51,0.541649930883201,0.998980520023177,2.56353960532927,0.8
0.52,0.498821799899277,0.998960540612571,2.61380508778671,0.8
0.53,0.464413138008639,0.99894056160155,2.66407057024414,0.8
0.54,0.421072383853939,0.998920582990105,2.71433605270158,0.8
0.55,0.367164124239406,0.998900604778228,2.76460153515902,0.8
0.56,0.323690180276414,0.998880626965911,2.81486701761645,0.8
0.57,0.285122750790202,0.998860649553146,2.86513250007389,0.8
0.58,0.218168399287332,0.998840672539926,2.91539798253133,0.8
0.59,0.178522896111921,0.998820695926242,2.96566346498876,0.8
0.6,0.130191207751337,0.998800719712086,3.0159289474462,0.8
0.61,0.0727903335286695,0.998780743897451,3.06619442990364,0.8
0.62,0.0227463451166996,0.998760768482328,3.11645991236107,0.8
0.63,-0.02529440991974,0.998740793466709,3.16672539481851,0.8
0.64,-0.0827859014481512,0.998720818850587,3.21699087727595,0.8
0.65,-0.110443982840502,0.998700844633952,3.26725635973339,0.8
0.66,-0.174740713330423,0.998680870816798,3.31752184219082,0.8
0.67,-0.231614391567137,0.998660897399117,3.36778732464826,0.8
0.68,-0.275809547802783,0.9986409243809,3.4180528071057,0.8
0.69,-0.305923069933203,0.998620951762139,3.46831828956313,0.8
0.7,-0.385458371625538,0.998600979542827,3.51858377202057,0.8
0.71,-0.408570339996206,0.998581007722955,3.568849254478,0.8
0.72,-0.450403423744274,0.998561036302515,3.61911473693544,0.8
0.73,-0.495435407602051,0.9985410652815,3.66938021939288,0.8
0.74,-0.559313949934821,0.998521094659901,3.71964570185032,0.8
0.75,-0.568984084784185,0.998501124437711,3.76991118430775,0.8
0.76,-0.629787429906775,0.998481154614921,3.82017666676519,0.8
0.77,-0.662088306385797,0.998461185191524,3.87044214922263,0.8
0.78,-0.707746711345767,0.998441216167511,3.92070763168006,0.8
0.79,-0.736835383376347,0.998421247542874,3.9709731141375,0.8
0.8,-0.782998967418668,0.998401279317606,4.02123859659494,0.8
0.81,-0.803922370151211,0.998381311491699,4.07150407905237,0.8
0.82,-0.837270758774795,0.998361344065144,4.12176956150981,0.8
0.83,-0.858837356299351,0.998341377037934,4.17203504396725,0.8
0.84,-0.877409289760338,0.99832141041006,4.22230052642468,0.8
