Time_s,Position_Z_m,Velocity_Z_m_s
3.08,-0.892257690429688,-0.0128939747810364
3.1,-0.892538845539093,-0.0132322311401367
3.12,-0.892786979675293,-0.0124663114547729
3.14,-0.893037497997284,-0.0139832496643066
3.16,-0.893346309661865,-0.0158458948135376
3.18,-0.893671333789825,-0.015510618686676
3.2,-0.893966734409332,-0.0131756067276001
3.22,-0.894198358058929,-0.0129267573356628
3.24,-0.894483804702759,-0.0123515725135803
3.26,-0.894692420959473,-0.0124737620353699
3.28,-0.894982755184174,-0.0165373086929321
3.3,-0.89535391330719,-0.0194177031517029
3.32,-0.895759463310242,-0.0174030661582947
3.34,-0.896050035953522,-0.0136673450469971
3.36,-0.896306157112122,-0.0131517648696899
3.38,-0.896576106548309,-0.0146612524986267
3.4,-0.896892607212067,-0.0183925032615662
3.42,-0.897311806678772,-0.0216752290725708
3.44,-0.897759616374969,-0.0225841999053955
3.46,-0.898215174674988,-0.0299140810966492
3.48,-0.898956179618835,-0.0274017453193665
3.5,-0.899311244487762,-0.0182777643203735
3.52,-0.89968729019165,-0.0184386968612671
3.54,-0.900048792362213,-0.0174924731254578
3.56,-0.900386989116669,-0.0199809670448303
3.58,-0.900848031044006,-0.0217482447624207
3.6,-0.901256918907166,-0.0188350677490234
3.62,-0.901601433753967,-0.0186324119567871
3.64,-0.902002215385437,-0.0173211097717285
3.66,-0.902294278144836,-0.0118210911750793
3.68,-0.90247505903244,-0.0113442540168762
3.7,-0.902748048305511,-0.0152722001075745
3.72,-0.903085947036743,-0.0176995992660522
3.74,-0.903456032276154,-0.0139340758323669
3.76,-0.903643310070038,-0.0100493431091309
3.78,-0.903858006000519,-0.00893324613571167
3.8,-0.904000639915466,-0.00693053007125854
3.82,-0.904135227203369,-0.00850558280944824
3.84,-0.904340863227844,-0.00742673873901367
3.86,-0.90443229675293,-0.00303685665130615
3.88,-0.904462337493896,-0.00125020742416382
3.9,-0.904482305049896,0.000886619091033936
3.92,-0.904426872730255,0.0025629997253418
3.94,-0.904379785060883,0.00041574239730835
3.96,-0.904410243034363,0.00146478414535522
3.98,-0.904321193695068,0.00716149806976318
4,-0.904123783111572,0.0104397535324097
4.02,-0.903903603553772,0.0106602907180786
4.04,-0.903697371482849,0.0104188919067383
4.06,-0.903486847877502,0.0139117240905762
4.08,-0.903140902519226,0.0163808465003967
4.1,-0.902831614017487,0.0157207250595093
4.12,-0.902512073516846,0.0174164772033691
4.14,-0.902134954929352,0.019855797290802
4.16,-0.901717841625214,0.0223696231842041
4.18,-0.901240170001984,0.025351345539093
4.2,-0.90070378780365,0.0252112746238708
4.22,-0.900231719017029,0.0217035412788391
4.24,-0.899835646152496,0.0230163335800171
4.26,-0.899311065673828,0.0297650694847107
4.28,-0.898645043373108,0.0324651598930359
4.3,-0.898012459278107,0.0317707657814026
4.32,-0.897374212741852,0.0325918197631836
4.34,-0.896708786487579,0.0321060419082642
4.36,-0.896089971065521,0.0332176685333252
4.38,-0.895380079746246,0.0361651182174683
4.4,-0.894643366336823,0.037713348865509
4.42,-0.893871545791626,0.039006769657135
4.44,-0.893083095550537,0.0370249152183533
4.46,-0.892390549182892,0.0371947884559631
4.48,-0.891595304012299,0.0369787216186523
4.5,-0.890911400318146,0.0355511903762817
4.52,-0.890173256397247,0.0369951128959656
4.54,-0.889431595802307,0.0382751226425171
4.56,-0.888642251491547,0.0401929020881653
4.58,-0.887823879718781,0.0374451279640198
4.6,-0.887144446372986,0.0342890620231628
4.62,-0.886452317237854,0.0335633754730225
4.64,-0.885801911354065,0.0350594520568848
4.66,-0.885049939155579,0.043816864490509
4.68,-0.884049236774445,0.042259693145752
4.7,-0.883359551429749,0.0334620475769043
4.72,-0.882710754871368,0.0291317701339722
4.74,-0.88219428062439,0.0249847769737244
4.76,-0.881711363792419,0.0275254249572754
4.78,-0.881093263626099,0.0300243496894836
4.8,-0.88051038980484,0.0284194946289062
4.82,-0.879956483840942,0.021718442440033
4.84,-0.879641652107239,0.0146597623825073
4.86,-0.879370093345642,0.0140994787216187
4.88,-0.879077672958374,0.0173494219779968
4.9,-0.878676116466522,0.0164896249771118
4.92,-0.87841808795929,0.0113502144813538
4.94,-0.878222107887268,0.00751018524169922
4.96,-0.878117680549622,0.00572055578231812
4.98,-0.877993285655975,0.00629276037216187
5,-0.877865970134735,0.00760257244110107
5.02,-0.877689182758331,0.00449270009994507
5.04,-0.877686262130737,-0.000557303428649902
5.06,-0.877711474895477,-0.000874698162078857
5.08,-0.87772125005722,-0.000393390655517578
5.1,-0.877727210521698,-0.00211447477340698
5.12,-0.877805829048157,-0.0050961971282959
5.14,-0.87793105840683,-0.00404864549636841
5.16,-0.877967774868011,-0.000880658626556396
5.18,-0.877966284751892,0.00195354223251343
5.2,-0.877889633178711,0.00254958868026733
5.22,-0.877864301204681,0.00209957361221313
5.24,-0.877805650234222,0.00389665365219116
5.26,-0.877708435058594,0.00608265399932861
5.28,-0.877562344074249,0.00939220190048218
5.3,-0.877332746982574,0.0124156475067139
5.32,-0.877065718173981,0.0140771269798279
5.34,-0.876769661903381,0.0175535678863525
5.36,-0.876363575458527,0.0185102224349976
5.38,-0.876029253005981,0.0155389308929443
5.4,-0.875742018222809,0.0153258442878723
5.42,-0.875416219234467,0.0173360109329224
5.44,-0.875048577785492,0.0198498368263245
5.46,-0.874622225761414,0.0210851430892944
5.48,-0.87420517206192,0.0228911638259888
5.5,-0.873706579208374,0.0246912240982056
5.52,-0.873217523097992,0.0251039862632751
5.54,-0.872702419757843,0.026722252368927
5.56,-0.872148633003235,0.0267788767814636
5.58,-0.871631264686584,0.0263616442680359
5.6,-0.871094167232513,0.0277116894721985
5.62,-0.870522797107697,0.0305905938148499
5.64,-0.869870543479919,0.0298008322715759
5.66,-0.869330763816833,0.0237435102462769
5.68,-0.868920803070068,0.0212341547012329
5.7,-0.868481397628784,0.0209107995033264
5.72,-0.868084371089935,0.0202134251594543
5.74,-0.867672860622406,0.0196650624275208
5.76,-0.867297768592834,0.0188559293746948
5.78,-0.866918623447418,0.0196963548660278
5.8,-0.866509914398193,0.0197753310203552
5.82,-0.866127610206604,0.0184789299964905
5.84,-0.865770757198334,0.0161245465278625
5.86,-0.86548262834549,0.0158265233039856
5.88,-0.865137696266174,0.0163346529006958
5.9,-0.864829242229462,0.0161975622177124
5.92,-0.864489793777466,0.0164270401000977
5.94,-0.864172160625458,0.0157803297042847
5.96,-0.863858580589294,0.0177830457687378
5.98,-0.863460838794708,0.0196680426597595
6,-0.863071858882904,0.0164449214935303
6.02,-0.862803041934967,0.00995546579360962
6.04,-0.86267364025116,0.0102505087852478
6.06,-0.862393021583557,0.0139251351356506
6.08,-0.862116634845734,0.0159889459609985
6.1,-0.861753463745117,0.0185161828994751
6.12,-0.861375987529755,0.0184506177902222
6.14,-0.861015439033508,0.0181779265403748
6.16,-0.86064887046814,0.0180110335350037
6.18,-0.860294997692108,0.019286572933197
6.2,-0.859877407550812,0.0215023756027222
6.22,-0.859434902667999,0.0215545296669006
6.24,-0.859015226364136,0.0217750668525696
6.26,-0.858563899993896,0.023205578327179
6.28,-0.858087003231049,0.0251919031143188
6.3,-0.857556223869324,0.0283673405647278
6.32,-0.856952309608459,0.0296741724014282
6.34,-0.856369256973267,0.0285342335700989
6.36,-0.855810940265656,0.0286146998405457
6.38,-0.855224668979645,0.0278487801551819
6.4,-0.854696989059448,0.0291287899017334
6.42,-0.854059517383575,0.0320419669151306
6.44,-0.853415310382843,0.0335201621055603
6.46,-0.852718710899353,0.0332996249198914
6.48,-0.852083325386047,0.0353351235389709
6.5,-0.851305305957794,0.0388577580451965
6.52,-0.85052901506424,0.0375404953956604
6.54,-0.849803686141968,0.035347044467926
6.56,-0.849115133285522,0.0360220670700073
6.58,-0.848362803459167,0.038418173789978
6.6,-0.847578406333923,0.0381439924240112
6.62,-0.846837043762207,0.0361844897270203
6.64,-0.846131026744843,0.0341922044754028
6.66,-0.845469355583191,0.0347793102264404
6.68,-0.844739854335785,0.0358536839485168
6.7,-0.84403520822525,0.0327646732330322
6.72,-0.843429267406464,0.0285327434539795
6.74,-0.842893898487091,0.0243052840232849
6.76,-0.842457056045532,0.0241443514823914
6.78,-0.841928124427795,0.0294312834739685
6.8,-0.841279804706573,0.0266298651695251
6.82,-0.840862929821014,0.0186264514923096
6.84,-0.840534746646881,0.0177860260009766
6.86,-0.840151488780975,0.0171422958374023
6.88,-0.839849054813385,0.0135213136672974
6.9,-0.839610636234283,0.0113636255264282
6.92,-0.839394509792328,0.0112786889076233
6.94,-0.839159488677979,0.00954717397689819
6.96,-0.839012622833252,0.00900477170944214
6.98,-0.838799297809601,0.00966787338256836
7,-0.838625907897949,0.0046655535697937
7.02,-0.838612675666809,0.00112801790237427
7.04,-0.838580787181854,0.00316053628921509
7.06,-0.83848625421524,0.00331997871398926
7.08,-0.838447988033295,-0.000511109828948975
