t,y,y_pred,error,A_est,B_est,C_est,omega_est,freq_est
0,0,0,0,0,0,0,3.76991118430775,0.6
0.01,0.0502392939991648,0,0.0502392939991648,0.555847036709966,-0.0188707761927631,0.0125772820326191,3.76991258017965,0.600000222159912
0.02,0.100341644515345,0.0565579602139931,0.043783684301352,0.986234966998179,-0.0493191544556984,0.0251296723947647,3.7699168950626,0.600000908894863
0.03,0.150180528203496,0.124528003041122,0.025652525162374,1.16475336791537,-0.072262487116838,0.0375816337808636,3.76992136780271,0.60000162075356
0.04,0.19963011249687,0.184852331389523,0.0147777811073468,1.23696962866335,-0.0897202737628964,0.0497197811749225,3.76992500866781,0.600002200215239
0.05,0.248565573302328,0.239701464584224,0.00886410871810397,1.26793659686579,-0.103832450260597,0.0610907412242831,3.76992779847941,0.600002644227545
0.06,0.296863410084881,0.291583889180009,0.0052795209048726,1.28118671825688,-0.115021292050576,0.0708894157657025,3.76992980496612,0.600002963569823
0.07,0.344401757546112,0.341626225541881,0.00277553200423164,1.28607683613454,-0.122622920154847,0.0778776193382973,3.76993103330164,0.600003159065492
0.08,0.391060693109916,0.390277953528223,0.000782739581692726,1.28697839650464,-0.125292728084309,0.0804063035210724,3.76993142633336,0.600003221618433
0.09,0.436722539439735,0.437681740384627,-0.000959200944892047,1.28637552533909,-0.121379129580124,0.0766267663803041,3.76993089078673,0.600003136383541
0.1,0.481272161224178,0.483826114268112,-0.00255395304393369,1.28593942269967,-0.109425261305352,0.064925965467771,3.76992933155713,0.600002888224442
0.11,0.52459725548252,0.528614445310482,-0.00401718982796173,1.28684193214023,-0.0887438260540181,0.0444816102014278,3.76992668864528,0.600002467591958
0.12,0.566588634658123,0.571907149659778,-0.00531851500165448,1.2897812400851,-0.059826540538658,0.0156762336538626,3.76992296742168,0.600001875340827
0.13,0.607140501786172,0.613556405436073,-0.00641590364990052,1.29496595531722,-0.024339662766872,-0.0198951071621496,3.76991825073529,0.600001124656873
0.14,0.646150717042273,0.653433669902472,-0.00728295286019875,1.30218353478027,0.015319722548401,-0.0598626784212681,3.76991268741903,0.600000239227589
0.15,0.683521055000376,0.691443814094767,-0.00792275909439033,1.31096039565278,0.0566598461564077,-0.101724338165811,3.76990646324506,0.599999248619537
0.16,0.719157451952104,0.727523861058734,-0.00836640910663033,1.32074417282768,0.0976079107986207,-0.143373601842986,3.76989976808879,0.59999818305232
0.17,0.752970242664754,0.761631770625654,-0.00866152796089992,1.33103877493499,0.13674209594006,-0.183346803881951,3.76989277147444,0.599997069506562
0.18,0.784874385982105,0.793733541779845,-0.00885915579774066,1.34146824703802,0.173274637136483,-0.220816883020299,3.76988561124044,0.599995929919927
0.19,0.8147896787004,0.82379412895218,-0.00900445025177987,1.3517842174058,0.206905164228183,-0.255451893942494,3.76987839343403,0.599994781170359
0.2,0.842640957181654,0.851773412199378,-0.00913245501772419,1.36184386754758,0.237648813413379,-0.287244190799978,3.76987119885901,0.599993636118181
0.21,0.868358286197475,0.877625917573185,-0.00926763137570974,1.37157965527645,0.265693881311023,-0.31636698611992,3.76986409211094,0.599992505044097
0.22,0.891877134528979,0.901302461247492,-0.00942532671851326,1.38097200571204,0.2913037072928,-0.343074400904031,3.76985713046829,0.599991397064257
0.23,0.913138536881901,0.922752371762993,-0.00961383488109202,1.39002873654407,0.314757433055214,-0.36764042449722,3.76985037140246,0.599990321325519
0.24,0.932089241710668,0.941925578127062,-0.0098363364163947,1.39877114970369,0.33631849800799,-0.390325943339334,3.76984387834396,0.599989287923164
0.25,0.948681844580867,0.958774299097418,-0.0100924545165516,1.40722535533889,0.356220594284865,-0.411363612884241,3.76983772476489,0.599988308550636
0.26,0.962874906736159,0.973254304334886,-0.010379397598727,1.41541724718733,0.374663600889046,-0.430953039681032,3.76983199678433,0.599987396914216
0.27,0.974633058573105,0.985325812042812,-0.0106927534697074,1.42336984350381,0.391814688471717,-0.449261386269719,3.76982679451605,0.599986568947505
0.28,0.983927087765558,0.994954108798295,-0.011027021032737,1.43110207711806,0.407811752856778,-0.466426484094769,3.76982223233915,0.5999858428545
0.29,0.990734011819123,1.00210996842166,-0.0113759566025357,1.43862842886078,0.422767613051449,-0.482560832924808,3.76981843822426,0.599985239002361
0.3,0.995037134875511,1.00676992946755,-0.0117327945920431,1.44595902360516,0.436774177802923,-0.497755649410128,3.76981555220675,0.599984779678408
0.31,0.996826088626472,1.00891647421725,-0.0120903855907732,1.45309995881511,0.449906220681696,-0.512084576179112,3.76981372406798,0.599984488721086
0.32,0.996096857237149,1.00853813871281,-0.0124412814756626,1.46005373155887,0.462224637858355,-0.525606906523424,3.76981311026693,0.599984391031614
0.33,0.992851786219079,1.00562957363368,-0.0127777874145992,1.46681968915074,0.473779180536606,-0.538370304123175,3.76981387015421,0.599984511971431
0.34,0.987099575233652,1.00019156904981,-0.0130919938161601,1.47339446407024,0.484610707437718,-0.550413055159288,3.76981616149754,0.599984876650049
0.35,0.978855254847425,0.992231051528064,-0.0133757966806382,1.47977237451527,0.494753022104648,-0.561765912486595,3.76982013534954,0.599985509108237
0.36,0.968140147301197,0.98176105906006,-0.0136209117588628,1.48594578365475,0.504234362150391,-0.572453595822677,3.76982593029411,0.59998643140231
0.37,0.954981811395136,0.968800697324474,-0.0138188859293381,1.49190541698576,0.513078602190701,-0.582496007763642,3.76983366611591,0.599987662596589
0.38,0.939413971632365,0.953375079541223,-0.0139611079088586,1.49764064039773,0.52130622394021,-0.591909217968208,3.76984343694665,0.599989217672599
0.39,0.921476431803096,0.935515251379812,-0.0140388195767163,1.50313970294729,0.528935098234641,-0.60070625963424,3.76985530395281,0.599991106365289
0.4,0.90121497323073,0.915258101888069,-0.0140431286573383,1.50838994875639,0.535981115674995,-0.608897774635739,3.76986928764043,0.599993331938297
0.41,0.878681237939975,0.892646261104957,-0.0139650231649813,1.513378002331,0.542458695590132,-0.616492536878577,3.76988535986388,0.599995889912105
0.42,0.853932597045116,0.867727984842935,-0.0137953877978192,1.51808993123252,0.548381197158791,-0.623497877690597,3.76990343563643,0.599998766760656
0.43,0.827032004693816,0.840557027026269,-0.0135250223324528,1.52251138956986,0.553761251741048,-0.62992003233459,3.76992336485102,0.600001938593671
0.44,0.798047837938252,0.811192499922826,-0.013144661984574,1.52662774529964,0.558611031603186,-0.635764422900034,3.76994492402938,0.600005369843475
0.45,0.767053722940864,0.779698722589225,-0.0126449996483603,1.53042419386895,0.56294246712733,-0.641035889751285,3.76996780822603,0.600009011976492
0.46,0.734128347956425,0.74614505785068,-0.0120167098942553,1.53388586032587,0.566767422136504,-0.645738881252178,3.76999162322154,0.600012802250747
0.47,0.699355263565446,0.71060573814975,-0.0112504745843039,1.53699789166581,0.570097835013814,-0.649877609531199,3.77001587814493,0.600016662541697
0.48,0.662822670666066,0.673159680617463,-0.0103370099513962,1.53974554087501,0.572945831748351,-0.653456178497632,3.77003997866983,0.600020498259367
0.49,0.624623196762354,0.633890291742913,-0.00926709498055911,1.54211424387215,0.575323815816322,-0.656478689085285,3.77006322093136,0.600024197380178
0.5,0.58485366111643,0.592885262041416,-0.00803160092498545,1.54408969033015,0.577244538836288,-0.658949325720329,3.7700847863112,0.60002762961698
0.51,0.543614829359831,0.550236351145602,-0.0066215217857718,1.54565788917743,0.578721155168895,-0.660872427230536,3.77010373723729,0.600030645750543
0.52,0.501011158186026,0.506039163767781,-0.00502800558175442,1.54680522942504,0.579767263021524,-0.662252544792789,3.77011901414048,0.6000330771452
0.53,0.457150530770952,0.460392917005106,-0.00324238623415435,1.54751853683984,0.580396934133664,-0.663094489021137,3.77012943370518,0.600034735470428
0.54,0.412143983591684,0.413400199481569,-0.00125621588988561,1.547785126879,0.580624733733285,-0.663403367902619,3.77013368854287,0.600035412648877
0.55,0.366105425335005,0.365166722842453,0.000938702492552068,1.54759285421445,0.580465732147356,-0.663184616972197,3.77013034840687,0.600034881049723
0.56,0.319151348607422,0.315801066137835,0.00335028246958657,1.54693015910518,0.579935509204852,-0.662444022865169,3.77011786305502,0.60003289394426
0.57,0.271400535176262,0.265414413652035,0.00598612152422778,1.54578611081674,0.579050152375187,-0.66118774118256,3.77009456685163,0.600029186238336
0.58,0.222973755487651,0.214120286755682,0.00885346873196893,1.54415044824042,0.57782624942908,-0.659422309442272,3.77005868518423,0.600023475493602
0.59,0.17399346322148,0.16203427037652,0.01195919284496,1.54201361782638,0.576280876284299,-0.657154655758146,3.77000834275182,0.600015463246637
0.6,0.124583485655886,0.109273734704095,0.0153097509517915,1.53936680891494,0.574431580599265,-0.654392103784202,3.76994157376162,0.600004836631801
0.61,0.0748687106241443,0.0559575527622669,0.0189111578618774,1.53620198652676,0.572296361598031,-0.65114237437721,3.76985633404956,0.599991270310278
0.62,0.0249747708553679,0.00220581450197677,0.0227689563533912,1.53251192165488,0.569893646546682,-0.647413584363306,3.76975051511709,0.599974428704103
0.63,-0.0249722735031518,-0.051860461915143,0.0268881884119912,1.52829021908864,0.56724226425046,-0.643214242740348,3.76962196005336,0.599953968530251
0.64,-0.0748462533797119,-0.106119620953996,0.0312733675742845,1.5235313427908,0.564361415900222,-0.638553244604568,3.76946848128714,0.599929541625948
0.65,-0.124521209483399,-0.160449661958581,0.0359284524751823,1.51823063884391,0.56127064356417,-0.633439863055596,3.76928788008832,0.599900798052427
0.66,-0.173871710415678,-0.214728532097965,0.0408568216822872,1.51238435597969,0.55798979659435,-0.627883739306458,3.76907796771395,0.59986738946043
0.67,-0.222773169384997,-0.268834419268294,0.0460612498832965,1.50598966370559,0.554538996195793,-0.621894871203236,3.76883658806933,0.599828972696826
0.68,-0.271102158724703,-0.322646044199251,0.0515438854745477,1.49904466804471,0.550938598388258,-0.615483600341541,3.76856164173052,0.59978521362792
0.69,-0.318736721420297,-0.376042951000756,0.0573062295804589,1.49154842490946,0.547209155575399,-0.608660597952888,3.76825111115188,0.599735791151349
0.7,-0.365556678859749,-0.428905795374904,0.0633491165151551,1.48350095113417,0.543371376923007,-0.601436849722633,3.76790308686029,0.599680401365027
0.71,-0.4114439340303,-0.481116629709662,0.0696726956793619,1.4749032331981,0.539446087736246,-0.593823639691653,3.76751579441745,0.599618761858326
0.72,-0.456282769396844,-0.532559184264929,0.076276414868085,1.46575723367679,0.535454188014957,-0.585832533386016,3.7670876219133,0.599550616087794
0.73,-0.499960138710534,-0.583119143658668,0.0831590049481333,1.45606589546651,0.531416610355806,-0.577475360311831,3.76661714773708,0.599475737797052
0.74,-0.5423659520118,-0.632684417861257,0.090318465849457,1.44583314383318,0.52735427736003,-0.568764195946135,3.76610316835845,0.599393935438296
0.75,-0.583393353109225,-0.681145406910377,0.0977520538011523,1.43506388634369,0.523288058695507,-0.559711343348647,3.76554472583946,0.599305056550966
0.76,-0.622938988834954,-0.728395258566901,0.105456269731948,1.42376401074328,0.519238727951843,-0.550329314513271,3.76494113478897,0.599208992051674
0.77,-0.660903269398153,-0.774330118144775,0.113426848746622,1.41194038084756,0.515226919416879,-0.540630811572229,3.76429200846506,0.599105680388533
0.78,-0.697190619180708,-0.818849369764887,0.121658750584179,1.39960083052199,0.511273084892647,-0.53062870795945,3.76359728372722,0.598995111512418
0.79,-0.731709717343587,-0.861855868304735,0.130146150961148,1.3867541558242,0.507397450658183,-0.52033602963332,3.76285724453973,0.598877330617646
0.8,-0.764373727638179,-0.903256161342296,0.138882433704117,1.37341010538636,0.503619974675928,-0.509765936451925,3.76207254372977,0.598752441604893
0.81,-0.795100516844305,-0.942960700424117,0.147860183579812,1.35957936911471,0.499960304127766,-0.498931703786623,3.76124422270924,0.598620610220009
0.82,-0.823812861285419,-0.980884041024024,0.157071179738605,1.34527356528232,0.496437733356143,-0.487846704452032,3.76037372887706,0.598482066823687
0.83,-0.850438640901774,-1.01694503060017,0.166506389698392,1.33050522608815,0.493071162275384,-0.476524391022417,3.75946293042976,0.598337108748639
0.84,-0.874911020393833,-1.05106698420396,0.176155963810127,1.31528778175126,0.489879055308389,-0.464978278596041,3.75851412832163,0.598186102203114
0.85,-0.897168616980978,-1.08317784714477,0.186009230163788,1.29963554320347,0.486879400894506,-0.453221928060339,3.75753006513192,0.598029483682156
0.86,-0.917155654354454,-1.11321034426845,0.196054689913996,1.28356368343632,0.484089671605721,-0.441268929901911,3.75651393061511,0.597867760850961
0.87,-0.934822102438452,-1.14110211546595,0.206280013027499,1.26708821755021,0.481526784900551,-0.429132888596387,3.75546936373145,0.597701512868035
0.88,-0.950123802609155,-1.16679583708909,0.216672034479931,1.25022598154379,0.479207064538262,-0.416827407604223,3.7544004509779,0.597531390119575
0.89,-0.963022578058365,-1.19023932901464,0.227216750956277,1.2329946098713,0.477146202670519,-0.404366074989709,3.75331172086543,0.597358113340482
0.9,-0.973486329025934,-1.21138564716362,0.237899318137686,1.21541251178439,0.47535922262329,-0.391762449671795,3.75220813441523,0.597182472101803
0.91,-0.981489112663464,-1.23019316134972,0.248704048686256,1.19749884646291,0.47386044237904,-0.379030048307076,3.75109507157617,0.597005322648995
0.92,-0.987011207330643,-1.24662561839921,0.259614411068569,1.17927349692701,0.472663438767901,-0.366182332797404,3.74997831349615,0.596827585080321
0.93,-0.990039161164918,-1.26065219055228,0.270613029387365,1.16075704271078,0.471781012376758,-0.353232698407217,3.74886402061246,0.59665023985983
0.94,-0.990565824804972,-1.27224750922333,0.28168168441836,1.14197073126497,0.471225153187056,-0.340194462468972,3.74775870656006,0.596474323664721
0.95,-0.988590368188528,-1.28139168426364,0.292801316075108,1.12293644804507,0.4710070069556,-0.327080853648978,3.74666920793138,0.596300924572476
0.96,-0.984118281385215,-1.28807030893354,0.303952027548323,1.10367668522934,0.471136842357699,-0.313905001740671,3.74560264995774,0.596131176598876
0.97,-0.977161359465616,-1.29227445085237,0.31511309138675,1.08421450900131,0.471624018918645,-0.300679927947867,3.74456640821889,0.595966253603901
0.98,-0.967737671447878,-1.29400062925167,0.326262957803791,1.06457352532207,0.472476955767643,-0.287418535616939,3.74356806652564,0.595807362588524
0.99,-0.955871513403525,-1.29325077891073,0.33737926550721,1.04477784410959,0.473703101257826,-0.274133601374154,3.74261537115815,0.595655736411527
1,-0.94159334584408,-1.29003220120193,0.348438855357853,1.02485204173616,0.475308903506791,-0.260837766622588,3.74171618168184,0.595512625961597
1.01,-0.924939715549797,-1.28435750271675,0.359417787166952,1.00482112175058,0.477299781923971,-0.247543529352196,3.74087841860116,0.595379291826167
1.02,-0.905953162041054,-1.27624452198107,0.370291359940016,0.984710473728746,0.479680099804077,-0.234263236216635,3.74011000815047,0.595256995504617
1.03,-0.884682108931722,-1.26571624479982,0.381034135868098,0.964545830156244,0.482453138079429,-0.221009074831382,3.73941882455948,0.595146990219526
