TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,F,P,X,Y
828960254,0.24375012516975403,0.010217271745204926,-23.505813598632812,0.0004414970753714442,1.8506229025661014e-05,0.1212739571928978,0.005083439406007528,0.12127476185560226,0.0050834729336202145,0.5794000029563904,0.0,1.5671558380126953,1.5671558380126953
828969983,0.24326524138450623,0.012986687943339348,-23.496685028076172,0.00046949952957220376,0.00011972991342190653,0.12166008353233337,0.006479219533503056,0.12166114151477814,0.006480160169303417,0.5794000029563904,0.0,1.5669372081756592,1.5523194074630737
828979866,0.2416423112154007,0.012482465244829655,-23.49085807800293,0.00027575160493142903,5.4467709560412914e-05,0.12098425626754761,0.006251574028283358,0.12098439782857895,0.006252205930650234,0.5794000029563904,0.0,1.5685170888900757,1.5620839595794678
828990644,0.24287565052509308,0.012729477137327194,-23.490869522094727,0.0009260164806619287,0.00015694602916482836,0.1217442974448204,0.006371352355927229,0.12174542993307114,0.006372140254825354,0.5794000029563904,0.0,1.563190221786499,1.5461682081222534
828999867,0.25173500180244446,0.011022966355085373,-23.49481964111328,0.008558082394301891,-0.0012038114946335554,0.1256481558084488,0.005675313528627157,0.12564536929130554,0.005676800850778818,0.5794000029563904,0.0,1.502789855003357,1.779811978340149
829010229,0.24905945360660553,0.011057893745601177,-23.50320053100586,0.006421392783522606,-0.0011708283564075828,0.12507830560207367,0.005684110336005688,0.12507613003253937,0.005685587879270315,0.5794000029563904,0.0,1.5195024013519287,1.7739378213882446
829019921,0.24779783189296722,0.006428159773349762,-23.5018253326416,0.005265239626169205,-0.007952827028930187,0.12485167384147644,0.004354704637080431,0.12485013157129288,0.0043598986230790615,0.5794000029563904,0.0,1.5286493301391602,2.6406192779541016
829029885,0.24398088455200195,0.00402802275493741,-23.498233795166016,0.0008542719297111034,-0.011669141240417957,0.1240738183259964,0.003699350403621793,0.12407431751489639,0.003706264542415738,0.5794000029563904,0.0,1.5639111995697021,2.834595203399658
829040238,0.2471247762441635,0.011441771872341633,-23.48855972290039,0.0062418109737336636,-0.0016595800407230854,0.1250424087047577,0.005498905200511217,0.12504136562347412,0.0055029443465173244,0.5794000029563904,0.0,1.5209201574325562,1.8639053106307983
829049897,0.24402810633182526,0.012013087049126625,-23.4898738861084,0.004638792481273413,0.0004260800196789205,0.12471950054168701,0.005919039715081453,0.12471971660852432,0.005921438802033663,0.5794000029563904,0.0,1.5336196422576904,1.498935580253601
829060216,0.24661849439144135,0.01014312170445919,-23.500612258911133,0.008421167731285095,-0.001004010089673102,0.12554943561553955,0.005605245474725962,0.1255464106798172,0.005608871579170227,0.5794000029563904,0.0,1.5038220882415771,1.748036503791809
829069983,0.25068965554237366,0.007923925295472145,-23.509355545043945,0.013655695132911205,-0.0030624442733824253,0.1268404871225357,0.005097547546029091,0.12682737410068512,0.005105145741254091,0.5794000029563904,0.0,1.463549017906189,2.1117804050445557
829079931,0.2490772157907486,0.01145885419100523,-23.505325317382812,0.014772972092032433,-0.0008691943367011845,0.12714098393917084,0.005687430035322905,0.1271248459815979,0.005689105484634638,0.5794000029563904,0.0,1.455121397972107,1.7224501371383667
829090760,0.24264495074748993,0.01143300998955965,-23.498226165771484,0.012123646214604378,-0.0001841798220993951,0.12637634575366974,0.005885134916752577,0.1263682097196579,0.005884742364287376,0.5794000029563904,0.0,1.4751560688018799,1.6020818948745728
829099866,0.23974493145942688,0.01626456342637539,-23.498363494873047,0.010577436536550522,0.0027057682164013386,0.1258898824453354,0.006794355809688568,0.12588904798030853,0.0067803338170051575,0.5794000029563904,0.0,1.4869718551635742,1.191810131072998
829110287,0.2376152127981186,0.012414679862558842,-23.50122833251953,0.010034281760454178,0.001958503620699048,0.1257094442844391,0.006546115968376398,0.12571121752262115,0.006535673514008522,0.5794000029563904,0.0,1.4911439418792725,1.280086874961853
829119940,0.23592622578144073,0.008706320077180862,-23.502399444580078,0.00991606805473566,0.00014514141366817057,0.12566737830638885,0.005900875199586153,0.125669926404953,0.005902200937271118,0.5794000029563904,0.0,1.4920521974563599,1.546204686164856
829129985,0.23798954486846924,0.011146726086735725,-23.50192642211914,0.01145731471478939,0.0002747783437371254,0.12624375522136688,0.0059493547305464745,0.12623563408851624,0.005949783604592085,0.5794000029563904,0.0,1.4802887439727783,1.524642825126648
829140930,0.24614638090133667,0.01552825327962637,-23.501251220703125,0.01572844199836254,0.0018114557024091482,0.12790195643901825,0.006545947398990393,0.1278686225414276,0.006537304259836674,0.5794000029563904,0.0,1.4484379291534424,1.3008230924606323
829149920,0.24989598989486694,0.02137545868754387,-23.49829864501953,0.019642570987343788,0.004318897146731615,0.12950070202350616,0.0075701214373111725,0.12944021821022034,0.007544090040028095,0.5794000029563904,0.0,1.420264482498169,1.0523362159729004
829160260,0.24806278944015503,0.010455052368342876,-23.49997901916504,0.02203484997153282,0.002852543955668807,0.13050627708435059,0.006953755859285593,0.13043458759784698,0.006934588309377432,0.5794000029563904,0.0,1.4035325050354004,1.181514024734497
829169986,0.24566233158111572,0.010365432128310204,-23.496200561523438,0.023395072668790817,0.002015028614550829,0.13110236823558807,0.006586735602468252,0.13102415204048157,0.0065715801902115345,0.5794000029563904,0.0,1.394206166267395,1.2739152908325195
829179863,0.24653494358062744,0.011285942047834396,-23.498300552368164,0.024986712262034416,0.0017339587211608887,0.1318199336528778,0.00646001985296607,0.13173772394657135,0.006445569917559624,0.5794000029563904,0.0,1.3834669589996338,1.308563470840454
