TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,F,P,X,Y,SW
229347763,0.09257499873638153,0.16714216768741608,-23.531326293945312,-0.00019966000400017947,-0.0011978551046922803,0.0004672000650316477,-0.001118871965445578,0.09204961359500885,0.15897242724895477,0.5794000029563904,0.0,83.02677154541016,84.83960723876953,0
229357769,0.08902402222156525,0.15943889319896698,-23.534088134765625,-0.00021229151752777398,-0.0011933153728023171,0.00035998228122480214,-0.0010803386103361845,0.09199406206607819,0.15899239480495453,0.5794000029563904,0.0,83.1557388305664,84.82403564453125,0
229367964,0.08632776141166687,0.15769170224666595,-23.53313636779785,-0.00023733431589789689,-0.0011953182984143496,0.00017980339180212468,-0.0010947496630251408,0.0919007807970047,0.1589849293231964,0.5794000029563904,0.0,83.54535675048828,84.82979583740234,0
229377630,0.0880013033747673,0.15991289913654327,-23.520788192749023,-0.00025656065554358065,-0.0011868750443682075,6.0210379160707816e-05,-0.0010422306368127465,0.09183886647224426,0.15901212394237518,0.5794000029563904,0.0,83.96318817138672,84.80888366699219,0
229387932,0.09349659830331802,0.15805965662002563,-23.52118492126465,-0.00024842718266882,-0.0011872637551277876,0.00010461969213793054,-0.001044353237375617,0.09186187386512756,0.15901102125644684,0.5794000029563904,0.0,83.79511260986328,84.80973052978516,0
229397601,0.09243974089622498,0.15727253258228302,-23.52484703063965,-0.0002458533854223788,-0.0011919038370251656,0.00011710021499311551,-0.0010668536415323615,0.09186834841966629,0.15899935364723206,0.5794000029563904,0.0,83.74919128417969,84.81837463378906,0
229407717,0.0977165549993515,0.15881448984146118,-23.530858993530273,-0.00021024784655310214,-0.0011868569999933243,0.00027184782084077597,-0.001044919015839696,0.09194882959127426,0.15901076793670654,0.5794000029563904,0.0,83.28121948242188,84.81016540527344,0
229418380,0.09697876870632172,0.15833662450313568,-23.535888671875,-0.00017793409642763436,-0.0011844879481941462,0.00039748926064930856,-0.0010357076535001397,0.09201441705226898,0.15901558101177216,0.5794000029563904,0.0,83.0438003540039,84.8067626953125,0
229427753,0.09576161950826645,0.1617680788040161,-23.530927658081055,-0.00015374433132819831,-0.00115703244227916,0.0004838428576476872,-0.000937695789616555,0.0920596718788147,0.15906694531440735,0.5794000029563904,0.0,82.93057250976562,84.76934814453125,0
229437872,0.09555049240589142,0.16082026064395905,-23.522626876831055,-0.00013052891881670803,-0.0011358731426298618,0.0005595549591816962,-0.0008686892106197774,0.09209956228733063,0.15910330414772034,0.5794000029563904,0.0,82.85208129882812,84.74117279052734,0
229447733,0.09492377191781998,0.15786349773406982,-23.522939682006836,-0.00011191223165951669,-0.0011381267104297876,0.0006152735440991819,-0.0008754338487051427,0.09212910383939743,0.1590997278690338,0.5794000029563904,0.0,82.8028335571289,84.74394989013672,0
229457603,0.09390705078840256,0.16035014390945435,-23.52861976623535,-0.00010171202302444726,-0.0011186159681528807,0.0006433934322558343,-0.0008216465939767659,0.09214412420988083,0.15912845730781555,0.5794000029563904,0.0,82.77970123291016,84.7218017578125,0
229467883,0.09206523001194,0.16594064235687256,-23.536048889160156,-0.00010805777128553018,-0.0010476824827492237,0.0006272318423725665,-0.0006409906200133264,0.09213541448116302,0.15922582149505615,0.5794000029563904,0.0,82.79351806640625,84.63734436035156,0
229477625,0.09056290239095688,0.16530098021030426,-23.535181045532227,-0.00012872737715952098,-0.000981779769062996,0.0005784716922789812,-0.0004855241859331727,0.09210886806249619,0.1593104600906372,0.5794000029563904,0.0,82.84188079833984,84.54754638671875,0
229488146,0.09146115183830261,0.1600799262523651,-23.523574829101562,-0.00014058062515687197,-0.0009670003200881183,0.0005526987370103598,-0.0004533887258730829,0.09209465980529785,0.1593281775712967,0.5794000029563904,0.0,82.87198638916016,84.5267105102539,0
229497613,0.09200700372457504,0.1538044959306717,-23.51945686340332,-0.0001466464455006644,-0.001017240108922124,0.0005403026007115841,-0.0005560587160289288,0.09208773076534271,0.159270778298378,0.5794000029563904,0.0,82.88794708251953,84.58853912353516,0
229507645,0.08992047607898712,0.16067640483379364,-23.520763397216797,-0.00017518184904474765,-0.0009929946390911937,0.0004853398713748902,-0.0005093590007163584,0.09205630421638489,0.15929748117923737,0.5794000029563904,0.0,82.96930694580078,84.56224060058594,0
229517862,0.08788309246301651,0.16231918334960938,-23.526826858520508,-0.00022645322314929217,-0.0009499918087385595,0.00039215723518282175,-0.00043120398186147213,0.09200179576873779,0.1593431979417801,0.5794000029563904,0.0,83.14659118652344,84.5143814086914,0
229527750,0.09529531747102737,0.1599462926387787,-23.5341739654541,-0.00019150743901263922,-0.0009342789417132735,0.00045214948477223516,-0.0004042293003294617,0.09203772246837616,0.15935935080051422,0.5794000029563904,0.0,83.02355194091797,84.49662780761719,0
229537869,0.09464366734027863,0.15733346343040466,-23.5322322845459,-0.00016434361168649048,-0.0009495958220213652,0.0004962284001521766,-0.000429084146162495,0.0920647531747818,0.15934410691261292,0.5794000029563904,0.0,82.9427261352539,84.51268005371094,0
229547791,0.09106194227933884,0.15787610411643982,-23.521684646606445,-0.0001813301059883088,-0.0009578302851878107,0.00047016519238241017,-0.0004417187301442027,0.09204836934804916,0.1593361645936966,0.5794000029563904,0.0,82.99100494384766,84.52037811279297,0
229557566,0.08914262056350708,0.1633685827255249,-23.519472122192383,-0.00022234288917388767,-0.0008960967534221709,0.0004106441920157522,-0.0003521260805428028,0.0920100063085556,0.15939390659332275,0.5794000029563904,0.0,83.1191635131836,84.46269989013672,0
