TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,PRX,PRY,PRZ,ERR,EST_FREQ,CORR
186361905,-0.8360373377799988,-0.19994263350963593,5.142265319824219,-0.444857656955719,-0.10164297372102737,-0.08042588829994202,0.03890100494027138,0.09020301699638367,-0.022462204098701477,-0.31303611397743225,-0.13098660111427307,4.193593502044678,-0.0001466295652789995,0.5793763995170593,0.0006639748462475836
186371700,-0.5398014783859253,-0.21828071773052216,5.212857246398926,-0.4488784372806549,-0.10313604772090912,-0.07943271100521088,0.039269812405109406,0.08789070695638657,-0.02332085557281971,-0.31177014112472534,-0.13360381126403809,4.158775329589844,-0.00020010610751342028,0.5793678164482117,0.0006639748462475836
186381721,-0.6344659328460693,-0.07656686753034592,5.263547897338867,-0.45442232489585876,-0.10217929631471634,-0.07781487703323364,0.03899060934782028,0.08465103060007095,-0.022761758416891098,-0.3125213384628296,-0.13212743401527405,4.1258649826049805,-0.0002709164109546691,0.5793564319610596,0.0006639748462475836
186391896,-0.9285644888877869,0.07563221454620361,5.196775913238525,-0.4646313786506653,-0.09878578782081604,-0.07435905188322067,0.03784189000725746,0.0785832554101944,-0.020744821056723595,-0.32055556774139404,-0.1264709234237671,4.091688632965088,-0.0003107472148258239,0.5793499946594238,0.0006639748462475836
186401731,-0.8497151136398315,-0.04324859380722046,5.385890960693359,-0.47319862246513367,-0.09746492654085159,-0.0710405707359314,0.037330262362957,0.0733991414308548,-0.019945556297898293,-0.32557183504104614,-0.12405884265899658,4.063162803649902,-0.0003682805981952697,0.5793407559394836,0.0006639748462475836
186412366,-0.6011905074119568,-0.2140517681837082,5.316193103790283,-0.47761955857276917,-0.09885931760072708,-0.06907662004232407,0.037949707359075546,0.07066848129034042,-0.020806826651096344,-0.32223573327064514,-0.1260673701763153,4.026970863342285,2.4126560674631037e-05,0.5794038772583008,0.0006639748462475836
186421811,-0.5711483955383301,-0.44485893845558167,5.135692596435547,-0.48149457573890686,-0.10364829003810883,-0.06716784834861755,0.04030868411064148,0.06823012977838516,-0.023820290341973305,-0.31959792971611023,-0.1339772641658783,3.9993972778320312,-2.787476660159882e-05,0.5793954730033875,0.0006639748462475836
186431704,-0.44625645875930786,-0.7302314043045044,5.057316780090332,-0.4834927022457123,-0.11231679469347,-0.0660690888762474,0.0450754351913929,0.06694554537534714,-0.029393190518021584,-0.31223437190055847,-0.14880521595478058,3.964123249053955,-0.00011048680607927963,0.5793821811676025,0.0006639748462475836
186441907,-0.8894731998443604,-0.5242279171943665,4.961297035217285,-0.49175044894218445,-0.11759430915117264,-0.06102435663342476,0.04829951748251915,0.06151396036148071,-0.032864511013031006,-0.3159066438674927,-0.15766188502311707,3.9272825717926025,-0.00013851588300894946,0.5793777108192444,0.0006639748462475836
186451693,-0.8587771654129028,-0.19080519676208496,4.9851179122924805,-0.49924948811531067,-0.1180553212761879,-0.05595340207219124,0.04861126467585564,0.05645937845110893,-0.03317524865269661,-0.3180752098560333,-0.15756459534168243,3.892064094543457,-0.00020231892995070666,0.579367458820343,0.0006639748462475836
186461952,-0.8924293518066406,-0.33617550134658813,5.2256245613098145,-0.5068713426589966,-0.12038998305797577,-0.05026357248425484,0.05035412311553955,0.0511854887008667,-0.034790702164173126,-0.32042422890663147,-0.16096380352973938,3.8639235496520996,-2.1973904949845746e-05,0.5793964266777039,0.0006639748462475836
186471691,-0.945389449596405,-0.2755897045135498,5.098867416381836,-0.5148105025291443,-0.12183274328708649,-0.04373255372047424,0.05154098570346832,0.04553468897938728,-0.03581760451197624,-0.32343050837516785,-0.16256295144557953,3.833469867706299,-9.425944153917953e-05,0.5793848037719727,0.0006639748462475836
186481714,-1.001793622970581,0.12496668845415115,5.040544509887695,-0.5230337977409363,-0.1184321865439415,-0.03628544136881828,0.048461396247148514,0.039500102400779724,-0.033322133123874664,-0.32715117931365967,-0.15401704609394073,3.8025624752044678,0.00012333477206993848,0.5794197916984558,0.0006639748462475836
186492278,-0.607776939868927,0.14860619604587555,5.059359073638916,-0.5263668298721313,-0.11504395306110382,-0.03292897343635559,0.04504934325814247,0.03696281462907791,-0.0307428278028965,-0.31911951303482056,-0.14483146369457245,3.767198085784912,0.00024762164684943855,0.5794397592544556,0.0006639748462475836
186501694,-0.5026500225067139,-0.36853450536727905,4.906522750854492,-0.528473973274231,-0.11746053397655487,-0.030616682022809982,0.04770120233297348,0.0353054441511631,-0.03264358639717102,-0.31096819043159485,-0.1487036496400833,3.7413270473480225,0.0002022587723331526,0.579432487487793,0.0006639748462475836
186511933,-0.5098763108253479,-0.6848295331001282,4.978734016418457,-0.5306371450424194,-0.12290671467781067,-0.027999337762594223,0.05429086461663246,0.03353492170572281,-0.03710120916366577,-0.3013273775577545,-0.1597682237625122,3.7122983932495117,0.00022291178174782544,0.5794358253479004,0.0006639748462475836
186521798,-0.9091641306877136,-0.425285667181015,5.115746021270752,-0.5365592241287231,-0.12545010447502136,-0.02008203975856304,0.057691141963005066,0.02847001887857914,-0.03927645459771156,-0.3010273873806,-0.16410647332668304,3.6877825260162354,0.00012886682816315442,0.5794206857681274,0.0006639748462475836
186531707,-1.263762354850769,-0.2304791808128357,4.96967077255249,-0.5452411770820618,-0.12605887651443481,-0.007217958103865385,0.05859316512942314,0.020673014223575592,-0.039823174476623535,-0.3086584210395813,-0.1635078489780426,3.6609268188476562,6.985822255956009e-05,0.5794112086296082,0.0006639748462475836
186542342,-1.089085578918457,-0.6027007699012756,5.183623313903809,-0.5517624616622925,-0.12966912984848022,0.0036595710553228855,0.06461510062217712,0.014450080692768097,-0.043268267065286636,-0.30985963344573975,-0.17131157219409943,3.6348319053649902,0.00028007637592963874,0.5794450044631958,0.0006639748462475836
186551686,-0.7097392082214355,-0.4708278477191925,5.290074825286865,-0.554903507232666,-0.13195520639419556,0.009453188627958298,0.06883172690868378,0.011281678453087807,-0.04557424783706665,-0.3047909736633301,-0.1761043220758438,3.6237120628356934,0.00018455619283486158,0.5794296264648438,0.0006639748462475836
186561952,-0.8602181673049927,0.08541040122509003,4.934091567993164,-0.5588559508323669,-0.13016749918460846,0.017666470259428024,0.06511681526899338,0.007005298510193825,-0.04364001750946045,-0.30132216215133667,-0.16738130152225494,3.5997114181518555,0.00016943523951340467,0.579427182674408,0.0006639748462475836
