TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,F,P,X,Y,SW
369456104,0.20657233893871307,0.007626689039170742,-23.506811141967773,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369465308,0.21545231342315674,0.010669192299246788,-23.514490127563477,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369475302,0.2206406593322754,0.010116124525666237,-23.532062530517578,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369485294,0.22121433913707733,0.008234736509621143,-23.538278579711914,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369495588,0.21314875781536102,0.00590951181948185,-23.515859603881836,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369505684,0.2098054438829422,0.004434020258486271,-23.50360107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369515323,0.2077236920595169,0.009828955866396427,-23.516761779785156,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369525344,0.21034787595272064,-0.0015842580469325185,-23.53034782409668,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369535276,0.20774365961551666,-0.0024420355912297964,-23.535009384155273,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369545636,0.20883311331272125,0.0036427839659154415,-23.524560928344727,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369555604,0.21097461879253387,0.008485761471092701,-23.518993377685547,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369565323,0.21249757707118988,0.011172900907695293,-23.516225814819336,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369575290,0.2155405580997467,0.008171054534614086,-23.509899139404297,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369585322,0.21178442239761353,0.01155134942382574,-23.518871307373047,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369595624,0.20907142758369446,0.01046665757894516,-23.526382446289062,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369605688,0.20578423142433167,0.01006782054901123,-23.5133113861084,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369615332,0.20317243039608002,0.003422088222578168,-23.524898529052734,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369625310,0.2138308733701706,0.0023547334130853415,-23.535526275634766,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369635286,0.22332417964935303,0.004462636541575193,-23.509965896606445,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369645898,0.21661248803138733,0.0064179785549640656,-23.508447647094727,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369656112,0.2125784009695053,0.007960297167301178,-23.509662628173828,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369665351,0.21129871904850006,0.0055151404812932014,-23.51757049560547,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369675281,0.20643723011016846,0.0005995574756525457,-23.52883529663086,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369685322,0.20948494970798492,0.007241576910018921,-23.51464080810547,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369695619,0.21051174402236938,0.011650551110506058,-23.50301742553711,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369705782,0.21037869155406952,0.005936917383223772,-23.521015167236328,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369715291,0.21370822191238403,0.0029661066364496946,-23.516265869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369725327,0.2101668119430542,0.009526868350803852,-23.523473739624023,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369735289,0.2036801278591156,0.013618840835988522,-23.51837158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369745661,0.2139119803905487,0.0027799904346466064,-23.498876571655273,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369755631,0.21442070603370667,-0.0010712480871006846,-23.513153076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369765351,0.21717196702957153,0.004874983336776495,-23.53226661682129,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369775316,0.22017072141170502,0.010701759718358517,-23.53519630432129,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369785345,0.21005335450172424,0.008710294030606747,-23.530698776245117,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369795675,0.20941321551799774,0.0026635818649083376,-23.509164810180664,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369805707,0.2084575593471527,-6.044755718903616e-05,-23.505126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369815298,0.2033812552690506,0.004003005567938089,-23.524520874023438,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
369825335,0.2095039188861847,0.006151387467980385,-23.52198600769043,0.0,0.0,0.0,0.0,0.0,0.0,0.5794000029563904,0.0,0.0,0.0,0
