TimeUS,DPE,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
316429331,-0.6966449022293091,-0.6966449022293091,-0.7772740721702576,-0.025598393753170967,0.2969183921813965,-0.0459340400993824,0.003989716060459614,-0.03284696489572525,0.1676919013261795
316529329,-0.699184775352478,-0.699184775352478,-0.7803743481636047,-0.025200406089425087,0.29955801367759705,-0.041034210473299026,0.003969590179622173,-0.009967128746211529,0.09814052283763885
316629462,-0.7016850113868713,-0.7016850113868713,-0.7828126549720764,-0.024804456159472466,0.29970595240592957,-0.026977354660630226,0.0039487360045313835,-0.04055052623152733,0.05909942463040352
316729347,-0.7041457295417786,-0.7041457295417786,-0.7852460145950317,-0.024410633370280266,0.29999059438705444,-0.031596291810274124,0.003927177283912897,0.10201847553253174,0.03518114611506462
316829341,-0.706567108631134,-0.706567108631134,-0.7881593704223633,-0.024018993601202965,0.3023499548435211,-0.03122585080564022,0.003904936835169792,0.07003981620073318,0.050455231219530106
316929461,-0.7089495658874512,-0.7089495658874512,-0.7914455533027649,-0.023629602044820786,0.3063541352748871,-0.035386424511671066,0.0038820402696728706,0.16967259347438812,0.04638541489839554
317029389,-0.7112931609153748,-0.7112931609153748,-0.7951759099960327,-0.023242535069584846,0.31228843331336975,-0.026676325127482414,0.003858510870486498,0.09520435333251953,0.07745855301618576
317129365,-0.7135981321334839,-0.7135981321334839,-0.7992551922798157,-0.02285785786807537,0.31977030634880066,-0.025973614305257797,0.003834372153505683,0.11353263258934021,0.08866934478282928
317229376,-0.7158648371696472,-0.7158648371696472,-0.8037717938423157,-0.02247561886906624,0.32915225625038147,-0.01854120008647442,0.0038096457719802856,0.07925336062908173,0.12735183537006378
317329360,-0.7180933952331543,-0.7180933952331543,-0.8087647557258606,-0.02209588512778282,0.340589702129364,-0.02768416330218315,0.0037843543104827404,0.2775113582611084,0.15341448783874512
317429370,-0.720284104347229,-0.720284104347229,-0.8139894604682922,-0.021718710660934448,0.35310280323028564,-0.029831435531377792,0.0037585205864161253,0.31470006704330444,0.19767974317073822
317529370,-0.7224372029304504,-0.7224372029304504,-0.8206932544708252,-0.021344145759940147,0.37168005108833313,-0.047571200877428055,0.003732164390385151,0.5507140159606934,0.2784368693828583
317629518,-0.7245530486106873,-0.7245530486106873,-0.8275686502456665,-0.02097223326563835,0.3910902440547943,-0.03792917728424072,0.003705305280163884,0.3874227702617645,0.3378743529319763
317729303,-0.726631760597229,-0.726631760597229,-0.8351597189903259,-0.020603034645318985,0.41350895166397095,-0.033230267465114594,0.0036779658403247595,0.4692397117614746,0.40193450450897217
